Step;sac_expanded;droQ_expanded
30000;0,3431399166584015;0,5179601907730103
60000;0,3207866251468658;0,7448685169219971
90000;0,3321283757686615;1,1623785495758057
120000;0,284048467874527;1,2319554090499878
150000;0,3053693771362304;1,2166285514831543
180000;0,2107198238372802;1,1166095733642578
210000;0,1506684124469757;0,9898152947425842
240000;0,1354702115058899;0,8573213219642639
270000;0,1021154448390007;0,7365754246711731
300000;0,0884636715054512;0,6408525109291077
330000;0,0740840286016464;0,5514451861381531
360000;0,1272421479225158;0,4764151871204376
390000;0,063143752515316;0,40771350264549255
420000;0,0534281395375728;0,35374897718429565
450000;0,0501478128135204;0,30589181184768677
480000;0,0472148768603801;0,2623026371002197
510000;0,0437782444059848;0,22843128442764282
540000;0,0430043265223503;0,20057198405265808
570000;0,0532967634499073;0,172784686088562
600000;0,0445674024522304;0,15424522757530212
630000;0,0611785314977169;0,1369783580303192
660000;0,0486547090113163;0,12078866362571716
690000;0,0621375441551208;0,11120384931564331
720000;0,0591571219265461;0,09836510568857193
750000;0,0842627361416816;0,08734772354364395
780000;0,1346184164285659;0,08111002296209335
810000;0,1205152198672294;0,07448022812604904
840000;0,194994568824768;0,0692533552646637
870000;0,2644769549369812;0,06798052787780762
900000;0,3649992346763611;0,0671868696808815
930000;0,6224865913391113;0,0658501461148262
960000;0,8919364809989929;0,0606129989027977
990000;1,1379848718643188;0,05984114855527878
1020000;1,7320680618286133;0,05711667612195015
1050000;2,3811135292053223;0,05501037463545799
1080000;2,8924622535705566;0,055415693670511246
1110000;3,3761727809906006;0,04869396239519119
1140000;4,741309642791748;0,04995032027363777
1170000;5,425137996673584;0,04971150681376457
1200000;5,858368873596191;0,05394585803151131
1230000;6,750999450683594;0,06026201695203781
1260000;7,252039909362793;0,06455545127391815
1290000;7,491736888885498;0,07418613135814667
1320000;7,858395576477051;0,08519405871629715
1350000;8,317214012145996;0,10133375972509384
1380000;8,245034217834473;0,12325067073106766
1410000;7,580694198608398;0,15392369031906128
1440000;7,867092609405518;0,2218596190214157
1470000;7,639670372009277;0,27201512455940247
1500000;7,350310802459717;0,3778022825717926
1530000;7,212043762207031;0,5582413673400879
1560000;7,175591945648193;0,7704368829727173
1590000;6,9199700355529785;1,093117594718933
1620000;7,059487819671631;1,4571096897125244
1650000;6,700722217559815;2,086352586746216
1680000;6,723963737487793;2,777761936187744
1710000;6,598993301391602;3,47318434715271
1740000;6,490565299987793;4,5974440574646
1770000;6,664723873138428;5,549118995666504
1800000;6,4810791015625;6,21478796005249
1830000;6,0347185134887695;7,112170219421387
1860000;6,0858259201049805;7,262392520904541
1890000;5,890739917755127;7,863803863525391
1920000;6,848134994506836;7,914102077484131
1950000;5,059353351593018;8,664896011352539
1980000;4,828578472137451;8,50563907623291
2010000;4,714044570922852;8,827954292297363
2040000;4,011103630065918;9,23304557800293
2070000;4,084689140319824;9,751303672790527
2100000;4,047133922576904;10,135543823242188
2130000;4,007213115692139;10,60503101348877
2160000;3,745054244995117;10,440557479858398
2190000;4,115748882293701;10,696072578430176
2220000;4,217617988586426;10,185449600219727
2250000;4,072189331054688;10,198047637939453
2280000;4,446599960327148;9,715428352355957
2310000;5,199703693389893;9,75686264038086
2340000;5,860828399658203;10,151382446289062
2370000;6,688670635223389;10,550613403320312
2400000;7,016300201416016;10,859707832336426
2430000;8,202460289001465;11,440335273742676
2460000;8,472894668579102;12,07534408569336
2490000;8,423311233520508;11,901594161987305
2520000;8,387113571166992;12,065776824951172
2550000;9,487902641296388;12,429254531860352
2580000;8,970501899719238;12,229928970336914
2610000;8,986218452453613;11,884659767150879
2640000;9,501367568969728;11,846403121948242
2670000;18,974411010742188;12,574016571044922
2700000;9,165736198425291;12,21334171295166
2730000;8,884285926818848;12,921544075012207
2760000;8,50361156463623;13,017341613769531
2790000;7,852206230163574;13,205927848815918
2820000;7,656308174133301;13,426843643188477
2850000;6,801949977874756;14,389494895935059
2880000;6,663040637969971;14,429214477539062
2910000;6,495388031005859;14,187323570251465
2940000;6,090865612030029;14,511059761047363
2970000;6,219919204711914;15,059988021850586
3000000;6,243836879730225;15,616185188293457
3030000;7,315182209014893;15,454333305358887
3060000;6,958410263061523;16,56707191467285
3090000;7,486824989318848;16,92918586730957
3120000;8,22697639465332;15,95472526550293
3150000;8,514357566833496;16,992801666259766
3180000;8,568182945251465;16,134817123413086
3210000;8,372396469116211;15,728536605834961
3240000;9,078521728515623;15,415238380432129
3270000;9,795992851257324;15,475330352783203
3300000;9,392688751220703;15,096195220947266
3330000;9,51166534423828;15,077919006347656
3360000;10,142712593078612;14,975889205932617
3390000;10,091385841369627;15,120116233825684
3420000;10,087284088134766;15,073004722595215
3450000;10,615777015686035;14,592683792114258
3480000;10,638094902038574;14,183012008666992
3510000;10,363532066345217;13,788199424743652
3540000;10,195462226867676;14,261131286621094
3570000;10,387969970703123;14,817913055419922
3600000;9,969629287719728;14,257797241210938
3630000;9,76850128173828;14,306825637817383
3660000;10,342020988464355;14,473901748657227
3690000;10,124439239501951;13,959531784057617
3720000;10,189848899841309;14,14587116241455
3750000;10,262421607971191;14,491205215454102
3780000;10,006499290466309;14,316425323486328
3810000;10,507279396057127;14,215848922729492
3840000;10,373112678527832;14,621406555175781
3870000;10,74525547027588;14,225066184997559
3900000;10,577581405639648;14,81946086883545
3930000;10,85501766204834;14,581197738647461
3960000;12,622350692749023;14,7991943359375
3990000;11,280437469482422;14,727088928222656
4020000;51,47616958618164;14,509988784790039
4050000;9,631775856018066;13,935063362121582
4080000;9,975996017456056;14,353177070617676
4110000;10,131484031677246;14,632000923156738
4140000;10,47026252746582;13,858179092407227
4170000;10,646041870117188;14,641895294189453
4200000;10,872282028198242;14,293818473815918
4230000;11,070451736450195;14,320363998413086
4260000;11,973146438598633;14,857291221618652
4290000;11,827817916870115;15,181246757507324
4320000;12,144407272338867;14,522181510925293
4350000;12,253653526306152;15,196237564086914
4380000;12,218210220336914;15,292523384094238
4410000;12,53650188446045;15,97197437286377
4440000;12,714411735534668;16,18659782409668
4470000;14,12953281402588;15,397698402404785
4500000;14,513245582580566;15,572001457214355
4530000;14,071698188781738;15,76960563659668
4560000;14,297449111938477;15,477705955505371
4590000;14,237524032592772;14,962920188903809
4620000;14,245966911315918;14,708978652954102
4650000;14,199783325195312;14,335651397705078
4680000;15,209016799926758;14,607720375061035
4710000;15,264849662780762;14,47315788269043
4740000;14,793009757995604;14,32705307006836
4770000;15,29592514038086;15,028594970703125
4800000;14,901958465576172;15,057042121887207
4830000;14,599601745605469;15,251798629760742
4860000;14,174019813537598;15,200796127319336
4890000;14,766530990600586;15,429824829101562
4920000;14,559664726257324;15,779818534851074
4950000;14,349647521972656;15,708590507507324
4980000;15,088932037353516;15,869996070861816
