Step;sac_expanded;droQ_expanded;ppo_expanded;ppg_expanded
30000;0,0003000000142492;0,0003000000142492;0,0002993700036313;0,0002993700036313385
60000;0,0003000000142492;0,0003000000142492;0,0002987399930134;0,00029873999301344156
90000;0,0003000000142492;0,0003000000142492;0,0002977949916385;0,0002977949916385114
120000;0,0003000000142492;0,0003000000142492;0,0002968499902635;0,0002968499902635813
150000;0,0003000000142492;0,0003000000142492;0,0002959049888886;0,00029590498888865113
180000;0,0003000000142492;0,0003000000142492;0,0002949599875137;0,000294959987513721
210000;0,0003000000142492;0,0003000000142492;0,0002943300059996;0,00029433000599965453
240000;0,0003000000142492;0,0003000000142492;0,0002933850046247;0,0002933850046247244
270000;0,0003000000142492;0,0003000000142492;0,0002924400032497;0,00029244000324979424
300000;0,0003000000142492;0,0003000000142492;0,0002914950018748;0,0002914950018748641
330000;0,0003000000142492;0,0003000000142492;0,0002905500004999;0,00029055000049993396
360000;0,0003000000142492;0,0003000000142492;0,000289604999125;0,0002899077080655843
390000;0,0003000000142492;0,0003000000142492;0,00028865999775;0,00028865999775007367
420000;0,0003000000142492;0,0003000000142492;0,000288030016236;0,0002880300162360072
450000;0,0003000000142492;0,0003000000142492;0,000287085014861;0,00028708501486107707
480000;0,0003000000142492;0,0003000000142492;0,0002861400134861;0,0002861400134861469
510000;0,0003000000142492;0,0003000000142492;0,0002851950121112;0,0002851950121112168
540000;0,0003000000142492;0,0003000000142492;0,0002842500107362;0,00028425001073628664
570000;0,0003000000142492;0,0003000000142492;0,0002833050093613;0,0002833050093613565
600000;0,0003000000142492;0,0003000000142492;0,0002823600079864;0,00028236000798642635
630000;0,0003000000142492;0,0003000000142492;0,0002817299973685;0,00028172999736852944
660000;0,0003000000142492;0,0003000000142492;0,0002807849959935;0,0002807849959935993
690000;0,0003000000142492;0,0003000000142492;0,0002798399946186;0,00027983999461866915
720000;0,0003000000142492;0,0003000000142492;0,0002788949932437;0,000278894993243739
750000;0,0003000000142492;0,0003000000142492;0,0002779500209726;0,0002779500209726393
780000;0,0003000000142492;0,0003000000142492;0,0002770050195977;0,0002770050195977092
810000;0,0003000000142492;0,0003000000142492;0,0002760600182227;0,00027606001822277904
840000;0,0003000000142492;0,0003000000142492;0,0002754300076048;0,0002754300076048821
870000;0,0003000000142492;0,0003000000142492;0,0002744850062299;0,000274485006229952
900000;0,0003000000142492;0,0003000000142492;0,000273540004855;0,00027354000485502183
930000;0,0003000000142492;0,0003000000142492;0,00027259500348;0,0002725950034800917
960000;0,0003000000142492;0,0003000000142492;0,0002716500021051;0,00027165000210516155
990000;0,0003000000142492;0,0003000000142492;0,0002707050007302;0,0002707050007302314
1020000;0,0003000000142492;0,0003000000142492;0,0002697599993553;0,00026975999935530126
