Step;sac_expanded;droQ_expanded;ppo_expanded;ppg_expanded;;;;;;;;
2490000;1771,516846;2126,80249;618,8550415;330,1659241;;;;;;;;
2520000;1469,629028;1981,091431;591,9550781;363,5826721;;;;;;;;
2550000;1719,19458;1961,687744;562,8650513;360,1180115;;;;;;;;
2580000;1838,964966;2086,192139;616,7016602;462,0394897;;;;;;;;
2610000;1551,011597;2146,595947;653,2675171;385,494751;;;;;;;;
2640000;1648,921875;2199,279541;635,647644;470,0965576;;;;;;;;
2670000;1278,769775;2187,198486;658,7258911;445,7524719;;;;;;;;
2700000;-167,9344788;2222,454102;702,3684082;471,6998596;;;;;;;;
2730000;-153,1921387;2260,895508;687,1005859;443,1995239;;;;;;;;
2760000;-119,924324;2441,562988;629,0400391;436,7849731;;;;;;;;
2790000;-69,24868011;2319,255371;802,5940552;469,8212585;;;;;;;;
2820000;-63,38521957;2249,325195;772,6598511;446,8794861;;;;;;;;
2850000;33,89296722;2204,062988;829,3661499;536,069397;;;;;;;;
2880000;224,5636139;2351,081543;783,9101563;505,585968;;;;;;;;
2910000;489,7929382;2215,641113;803,5795288;588,1916504;;;;;;;;
2940000;590,6802368;2178,191162;824,9191284;529,2474365;;;;;;;;
2970000;935,3226929;2464,702148;808,0917969;494,9212646;;;;;;;;
3000000;943,6671143;2488,491211;619,1769409;608,3012085;;;;;;;;
3030000;1575,452759;2446,942871;809,1413574;559,3717651;;;;;;;;
3060000;806,8670044;2404,727539;825,4127197;590,8544922;;;;;;;;
3090000;1614,771362;2410,524658;963,0473022;599,4632568;;;;;;;;
3120000;1344,744629;2406,896973;752,6780396;623,2372437;;;;;;;;
3150000;934,5691528;2424,161865;877,7489014;653,5628052;;;;;;;;
3180000;1149,677979;2404,938232;851,1320801;689,4798584;;;;;;;;
3210000;1157,492065;2534,400635;420,6379395;646,0418091;;;;;;;;
3240000;1283,896851;2572,781738;856,2423096;680,791626;;;;;;;;
3270000;1393,68457;2431,353516;941,7483521;696,6690674;;;;;;;;
3300000;1635,653809;2509,515137;845,8671265;772,9110718;;;;;;;;
3330000;1714,762573;2392,438477;825,8927002;715,7203369;;;;;;;;
3360000;1789,067383;2529,732178;867,6808472;736,432373;;;;;;;;
3390000;1746,869995;2331,949219;931,6710205;827,9291992;;;;;;;;
3420000;2112,049805;2601,648926;977,4924927;754,9641724;;;;;;;;
3450000;2109,32251;2474,373291;951,7396851;800,4193726;;;;;;;;
3480000;2256,439697;2397,991699;854,4533691;873,2980957;;;;;;;;
3510000;2271,404785;2593,935791;874,5684204;681,5825195;;;;;;;;
3540000;2236,028076;2525,414063;994,362854;665,8339844;;;;;;;;
3570000;2206,20874;2504,910645;1002,781677;800,4221802;;;;;;;;
3600000;2210,85376;2571,15625;1115,606934;892,0675049;;;;;;;;
3630000;2307,775635;2651,449219;1022,976807;905,729187;;;;;;;;
3660000;1761,834351;2607,358887;1051,181641;816,8022461;;;;;;;;
3690000;2197,329834;2451,84082;1107,766724;892,7235107;;;;;;;;
3720000;2230,821289;2624,246338;943,5130615;891,6494141;;;;;;;;
3750000;2262,660645;2532,978516;1042,452026;895,9456787;;;;;;;;
3780000;2383,720215;2543,378662;1070,016113;924,3845215;;;;;;;;
3810000;2474,608643;2611,88623;1049,961182;934,8601074;;;;;;;;
3840000;2426,48877;2709,112305;1060,508911;906,9401245;;;;;;;;
3870000;2451,715088;2593,593018;1110,674072;952,9812622;;;;;;;;
3900000;2384,74292;2481,878906;1186,251221;900,5663452;;;;;;;;
3930000;2163,55542;2700,716553;1209,50708;962,9949341;;;;;;;;
3960000;797,3015747;2658,781006;1151,678467;814,3557129;;;;;;;;
3990000;51,92001343;2706,839355;1191,600342;923,6873169;;;;;;;;
4020000;349,7625732;2707,65918;1120,59436;1011,819092;;;;;;;;
4050000;998,15802;2724,374756;1171,22168;1016,811829;;;;;;;;
4080000;1854,118042;2690,753906;1230,016602;998,1391602;;;;;;;;
4110000;2152,765137;2602,095703;994,2878418;1010,162109;;;;;;;;
4140000;2109,412842;2648,259277;1177,925049;1029,375122;;;;;;;;
4170000;1874,894409;2651,164551;1118,165894;1082,065552;;;;;;;;
4200000;1918,41748;2735,387207;1101,398438;1080,477173;;;;;;;;
4230000;2211,413818;2679,919678;1227,033936;943,2320557;;;;;;;;
4260000;2175,926758;2742,299805;1139,658447;1004,821411;;;;;;;;
4290000;2419,945313;2688,571045;1165,443359;1150,40271;;;;;;;;
4320000;2310,557129;2672,557861;1162,710571;1008,047485;;;;;;;;
4350000;2170,479492;2465,378662;1099,11792;1005,867859;;;;;;;;
4380000;2451,734619;2648,273438;1112,057617;1088,853516;;;;;;;;
4410000;2504,273438;2783,387207;1159,424927;1152,241333;;;;;;;;
4440000;2282,093262;2755,865234;1222,10376;1107,791626;;;;;;;;
4470000;2266,602051;2612,196045;1242,222412;1146,398315;;;;;;;;
4500000;2422,039063;2731,865234;1272,505005;1153,057983;;;;;;;;
4530000;2299,919434;2805,544922;1328,848633;1051,774414;;;;;;;;
4560000;2501,615967;2653,104248;1305,356445;1106,661133;;;;;;;;
4590000;2516,520752;2686,095947;1336,0448;1112,52124;;;;;;;;
4620000;2011,654419;2773,698975;1336,196899;872,1628418;;;;;;;;
4650000;2658,624268;2843,868164;1308,218384;1176,218262;;;;;;;;
4680000;2468,63501;2565,56958;1369,532227;1162,587036;;;;;;;;
4710000;2551,277344;2498,074219;1424,027222;1145,585693;;;;;;;;
4740000;2460,386475;2714,796875;1337,032593;1268,572876;;;;;;;;
4770000;2326,312012;2655,811523;1197,35437;1233,851074;;;;;;;;
4800000;2391,869873;2701,864746;1228,244141;1134,762573;;;;;;;;
4830000;2551,075684;2795,745605;1365,79834;1172,13501;;;;;;;;
4860000;2682,231201;2750,023682;1316,867798;1160,061401;;;;;;;;
4890000;2647,945801;2801,891846;1363,827515;1154,221069;;;;;;;;
4920000;2739,901855;2845,904297;1404,31604;1218,360229;;;;;;;;
4950000;2360,99707;2801,215332;1318,518311;1196,251221;;;;;;;;
4980000;1925,021484;2777,650146;1269,063232;1291,637207;;;;;;;;
5010000;;;1381,261108;1253,72937;;;;;;;;
5040000;;;1309,943359;1259,897705;;;;;;;;
5070000;;;1419,272217;1281,34436;;;;;;;;
5100000;;;1549,976807;1371,896362;;;;;;;;
5130000;;;1429,835571;1376,758179;;;;;;;;
5160000;;;1422,205933;1334,869995;;;;;;;;
5190000;;;1449,59021;1345,802368;;;;;;;;
5220000;;;1312,421387;1160,782471;;;;;;;;
5250000;;;940,4992676;1277,696289;;;;;;;;
5280000;;;1218,898682;1161,821045;;;;;;;;
5310000;;;1456,036621;1458,894287;;;;;;;;
5340000;;;1398,166992;1384,115723;;;;;;;;
5370000;;;1461,367554;1387,478638;;;;;;;;
5400000;;;1489,123413;1429,72998;;;;;;;;
5430000;;;1420,410522;1386,74707;;;;;;;;
5460000;;;1482,737549;1462,833252;;;;;;;;
5490000;;;1401,460083;1389,961914;;;;;;;;
5520000;;;1564,553589;1470,697632;;;;;;;;
5550000;;;1528,613892;1505,388306;;;;;;;;
5580000;;;1218,255859;1480,426392;;;;;;;;
5610000;;;1454,575806;1522,649658;;;;;;;;
5640000;;;1567,584595;1492,569092;;;;;;;;
5670000;;;1561,498901;1432,687866;;;;;;;;
5700000;;;1525,015381;1541,134888;;;;;;;;
5730000;;;1447,587036;1617,483765;;;;;;;;
5760000;;;1354,791748;1464,925171;;;;;;;;
5790000;;;1493,311768;1491,989502;;;;;;;;
5820000;;;1625,930542;1502,921631;;;;;;;;
5850000;;;1583,658447;1446,91748;;;;;;;;
5880000;;;1609,727905;1600,391724;;;;;;;;
5910000;;;1669,891846;1491,157715;;;;;;;;
5940000;;;1653,408936;1512,086792;;;;;;;;
5970000;;;1615,121826;1593,048218;;;;;;;;
6000000;;;1549,641846;1459,057007;;;;;;;;
6030000;;;1542,880493;1554,313599;;;;;;;;
6060000;;;1489,032593;1675,779419;;;;;;;;
6090000;;;1689,616577;1542,635742;;;;;;;;
6120000;;;1580,406372;1591,832886;;;;;;;;
6150000;;;1614,149414;1614,886719;;;;;;;;
6180000;;;1577,980835;1649,9729;;;;;;;;
6210000;;;1428,342773;1512,95874;;;;;;;;
6240000;;;1735,193481;1617,608643;;;;;;;;
6270000;;;1710,93811;1577,324585;;;;;;;;
6300000;;;1643,441895;1540,862061;;;;;;;;
6330000;;;1533,155762;1612,446167;;;;;;;;
6360000;;;1665,387207;1693,517822;;;;;;;;
6390000;;;1629,306396;1631,228394;;;;;;;;
6420000;;;1652,262695;1596,347656;;;;;;;;
6450000;;;1678,356812;1543,604126;;;;;;;;
6480000;;;1687,821777;1730,649536;;;;;;;;
6510000;;;1712,633667;997,5441284;;;;;;;;
6540000;;;1576,27417;1580,291992;;;;;;;;
6570000;;;1743,713501;1643,806152;;;;;;;;
6600000;;;1561,693359;1528,880493;;;;;;;;
6630000;;;1678,651001;1695,845459;;;;;;;;
6660000;;;1727,723267;1673,928345;;;;;;;;
6690000;;;1680,892578;1622,991333;;;;;;;;
6720000;;;1621,756958;1740,829346;;;;;;;;
6750000;;;1758,780518;1708,58374;;;;;;;;
6780000;;;1638,412476;1703,574585;;;;;;;;
6810000;;;1623,272705;1613,745117;;;;;;;;
6840000;;;1748,202026;1726,031372;;;;;;;;
6870000;;;1806,337524;1804,61377;;;;;;;;
6900000;;;1720,289063;1705,752686;;;;;;;;
6930000;;;1573,636108;1599,005127;;;;;;;;
6960000;;;1829,794067;1716,311523;;;;;;;;
6990000;;;1769,123901;1741,94397;;;;;;;;
7020000;;;1603,932129;1701,399902;;;;;;;;
