Step;ppo_expanded;ppg_expanded
30000;-0,7421892881393433;-0,6706497073173523
60000;-4,82188606262207;-3,72528076171875
90000;-8,840010643005371;-6,690357685089111
120000;-11,627288818359377;-9,097193717956543
150000;-13,460371971130373;-11,897833824157715
180000;-15,993361473083496;-15,23992919921875
210000;-17,322357177734375;-17,580047607421875
240000;-19,13479995727539;-19,546796798706055
270000;-20,214679718017575;-20,55938720703125
300000;-21,485538482666016;-22,35672378540039
330000;-22,510053634643555;-23,495990753173828
360000;-22,67960929870605;-32,19694137573242
390000;-23,09900283813477;-33,51049041748047
420000;-22,90207862854004;-33,02822494506836
450000;-22,23098945617676;-31,855236053466797
480000;-21,57742500305176;-31,488073348999023
510000;-21,540918350219727;-28,88265037536621
540000;-20,578857421875;-29,90370750427246
570000;-20,405948638916016;-25,944780349731445
600000;-19,30913352966309;-25,46746826171875
630000;-18,58623695373535;-24,944440841674805
660000;-18,128877639770508;-24,38699722290039
690000;-18,17336845397949;-14,919922828674316
720000;-16,737890243530273;-15,881742477416992
750000;-16,949874877929688;-13,164976119995117
780000;-15,792346954345703;-12,300811767578125
810000;-15,924356460571287;-13,243167877197266
840000;-15,072850227355955;-11,745044708251953
870000;-15,646062850952148;-11,676664352416992
900000;-13,047918319702148;-11,305119514465332
930000;-13,966302871704102;-12,172929763793945
960000;-11,109853744506836;-13,433686256408691
990000;-11,389482498168944;-13,770586013793945
1020000;-9,691187858581545;-16,2783145904541
1050000;-11,927011489868164;-16,108701705932617
1080000;-10,66981601715088;-14,89992618560791
1110000;-10,16024684906006;-14,600285530090332
1140000;-9,062943458557127;-13,283675193786621
1170000;-9,214301109313965;-15,462549209594727
1200000;-8,477306365966797;-12,036455154418945
1230000;-4,20623254776001;-14,809412956237793
1260000;-2,2139103412628174;-14,83106517791748
1290000;-1,4390896558761597;-12,700156211853027
1320000;-3,599224328994751;-9,462799072265625
1350000;4,4484052658081055;-9,559070587158203
1380000;3,585366725921631;-9,985167503356934
1410000;1,5087196826934814;-6,317534446716309
1440000;4,50398063659668;-7,343885898590088
1470000;7,920098304748535;-7,439564228057861
1500000;6,751646041870117;-7,007705211639404
1530000;5,833197593688965;-4,6006245613098145
1560000;9,847277641296388;-3,222968101501465
1590000;9,644283294677734;-7,210448741912842
1620000;14,291094779968262;-7,189789772033691
1650000;11,654088973999023;-1,4065624475479126
1680000;19,009765625;0,8632428646087646
1710000;22,210193634033203;3,0117268562316895
1740000;26,6241455078125;5,262235164642334
1770000;27,91745948791504;8,818023681640625
1800000;35,45772171020508;-1,279779076576233
1830000;32,16561508178711;3,5844929218292236
1860000;37,02215194702149;8,846383094787598
1890000;36,40707015991211;8,791604995727539
1920000;46,663387298583984;7,395742416381836
1950000;42,973262786865234;11,359899520874023
1980000;48,72378921508789;14,964860916137695
2010000;51,6927375793457;14,324127197265625
2040000;36,84504318237305;18,72293472290039
2070000;57,8875846862793;26,019800186157227
2100000;57,19667816162109;28,813493728637695
2130000;57,85039138793945;23,31661605834961
2160000;60,28480529785156;29,230892181396484
2190000;72,06202697753906;30,478967666625977
2220000;62,7513427734375;30,543811798095703
2250000;72,95259857177734;32,40696334838867
2280000;68,01329803466797;39,35681915283203
2310000;85,55135345458984;41,4821662902832
2340000;79,37653350830078;39,912410736083984
2370000;91,94954681396484;48,783992767333984
2400000;101,58246612548828;55,897281646728516
2430000;90,2394790649414;61,357887268066406
2460000;95,84082794189452;58,82329177856445
2490000;104,47525024414062;52,22221755981445
2520000;101,7459945678711;56,70463943481445
2550000;97,75829315185548;62,54956817626953
2580000;104,18470001220705;71,1560287475586
2610000;112,75485229492188;64,23909759521484
2640000;104,36898040771484;73,20044708251953
2670000;111,97340393066406;71,42896270751953
2700000;123,0859146118164;76,35137176513672
2730000;118,7677993774414;75,43583679199219
2760000;117,20773315429688;69,0259017944336
2790000;140,468994140625;73,39195251464844
2820000;138,50128173828125;76,85746765136719
2850000;144,01661682128906;98,58470916748047
2880000;142,34698486328125;89,58674621582031
2910000;138,4347381591797;91,11498260498047
2940000;143,66062927246094;85,51421356201172
2970000;151,88247680664062;84,87129211425781
3000000;115,05663299560548;98,28214263916016
3030000;155,29400634765625;94,76699829101562
3060000;152,82846069335938;102,93366241455078
3090000;173,78184509277344;109,43860626220703
3120000;143,41604614257812;97,87199401855469
3150000;157,5491180419922;108,6964340209961
3180000;156,54434204101562;112,2058334350586
3210000;75,70820617675781;107,83141326904297
3240000;160,7333221435547;109,8191146850586
3270000;172,0117645263672;114,97954559326172
3300000;155,46315002441406;130,00827026367188
3330000;157,22314453125;120,01959991455078
3360000;162,61708068847656;126,38626861572266
3390000;168,56524658203125;155,54661560058594
3420000;174,79461669921875;146,614501953125
3450000;180,74073791503903;149,37416076660156
3480000;157,40760803222656;159,87123107910156
3510000;166,7592010498047;135,2728729248047
3540000;187,4364471435547;127,0514907836914
3570000;191,6364288330078;143,95709228515625
3600000;203,7348175048828;153,67919921875
3630000;187,687255859375;156,95529174804688
3660000;191,8968048095703;147,5314178466797
3690000;200,4923553466797;159,162109375
3720000;179,35060119628906;166,64376831054688
3750000;202,6989898681641;164,86273193359375
3780000;204,33197021484372;171,6432647705078
3810000;201,59494018554688;171,3322296142578
3840000;206,72650146484372;173,1382598876953
3870000;209,5246734619141;177,29554748535156
3900000;219,1450042724609;175,8791046142578
