Step;sac_expanded;droQ_expanded;ppo_expanded;ppg_expanded
2430000;-334,6474914550781;-224,4869842529297;0,0150078758597373;0,8863841891288757
2460000;-354,67095947265625;-232,25050354003903;0,0166494566947221;1,090397834777832
2490000;-362,5751037597656;-238,0719757080078;0,0156221129000186;0,9489829540252686
2520000;-368,35595703125;-243,8968505859375;0,0212700106203556;1,3882343769073486
2550000;-390,681884765625;-248,9957275390625;0,0139129534363746;0,9996185302734375
2580000;-396,9696044921875;-253,7857208251953;0,0171886645257473;1,5152027606964111
2610000;-402,0052490234375;-258,6609191894531;0,0152795128524303;1,8234338760375977
2640000;-415,02447509765625;-264,84820556640625;0,0131731498986482;1,232215404510498
2670000;-424,2908630371094;-270,4061584472656;0,0179967042058706;1,7584660053253174
2700000;-417,9832458496094;-274,8645935058594;0,0158548578619956;2,5339698791503906
2730000;-412,98095703125;-279,6470031738281;0,0166225079447031;0,4779421091079712
2760000;-405,9054260253906;-283,3558959960937;0,0172599218785762;1,2322436571121216
2790000;-398,5533447265625;-287,9024658203125;0,0184684712439775;2,2677881717681885
2820000;-393,1634216308594;-292,1553039550781;0,0148920845240354;1,1623454093933105
2850000;-372,4216918945313;-295,12457275390625;0,0141341881826519;0,8441884517669678
2880000;-363,1038513183594;-299,5200500488281;0,0173459220677614;1,3088274002075195
2910000;-359,4894104003906;-304,28582763671875;0,0195094309747219;2,3441250324249268
2940000;-343,7376708984375;-307,942626953125;0,0185662992298603;1,6084848642349243
2970000;-327,06646728515625;-311,7309875488281;0,015042851679027;1,3931241035461426
3000000;-325,0971374511719;-315,5482177734375;0,0178906619548797;2,216801881790161
3030000;-321,37042236328125;-319,452392578125;0,0150316702201962;2,0904171466827393
3060000;-286,08331298828125;-323,1863098144531;0,0149497324600815;1,1438490152359009
3090000;-288,7284851074219;-326,7960205078125;0,0223181098699569;1,2497313022613525
3120000;-292,7850952148437;-329,8448791503906;0,0170894004404544;2,1540229320526123
3150000;-286,9894104003906;-332,2385559082031;0,0185801088809967;2,236555576324463
3180000;-287,4631652832031;-334,7846069335937;0,0187762957066297;2,501755475997925
3210000;-291,13702392578125;-337,7868347167969;0,0151335224509239;1,8839610815048218
3240000;-297,5411376953125;-340,2232360839844;0,0193155165761709;2,5442211627960205
3270000;-305,0336608886719;-342,3890075683594;0,0152150904759764;2,183929204940796
3300000;-310,1173400878906;-344,5048522949219;0,0172077324241399;2,517836332321167
3330000;-313,3905334472656;-346,268798828125;0,0192443281412124;2,5273783206939697
3360000;-322,9410095214844;-348,1922302246094;0,0145602449774742;1,1149179935455322
3390000;-325,3011474609375;-350,05377197265625;0,0170110594481229;1,7318357229232788
3420000;-327,35260009765625;-352,01251220703125;0,0143436938524246;0,7041589617729187
3450000;-330,4838562011719;-353,5783386230469;0,0146563863381743;0,8904926776885986
3480000;-335,3167419433594;-354,874755859375;0,0170033629983663;2,100586414337158
3510000;-340,87890625;-356,0210266113281;0,0180314499884843;0,20173335075378418
3540000;-346,10845947265625;-357,2527770996094;0,0194134581834077;0,34628400206565857
3570000;-352,0723876953125;-357,8384094238281;0,0128617472946643;1,4323036670684814
3600000;-357,1614990234375;-359,49365234375;0,0177830457687377;2,2518041133880615
3630000;-361,4605407714844;-361,029296875;0,019002329558134;2,8279998302459717
3660000;-370,0122680664063;-361,5443115234375;0,0167621374130249;1,2604860067367554
3690000;-372,5586242675781;-362,8142395019531;0,0183757413178682;1,8670660257339478
3720000;-375,1697998046875;-364,307373046875;0,0147698307409882;1,463079571723938
3750000;-380,1754150390625;-365,9450073242188;0,0186483468860387;1,2192087173461914
3780000;-385,4053039550781;-366,7731018066406;0,0149709712713956;1,435613989830017
3810000;-388,9033508300781;-368,3707275390625;0,0167372953146696;1,4849497079849243
3840000;-392,7319030761719;-369,7731323242188;0,0179235767573118;0,4484001100063324
3870000;-399,8788757324219;-370,8274230957031;0,0161618907004594;1,3394246101379395
3900000;-402,231201171875;-372,4368286132813;0,0148286400362849;0,6413177847862244
3930000;-404,39202880859375;-373,9256286621094;0,0171186719089746;1,3036339282989502
3960000;-403,8046875;-375,6070251464844;0,0125790238380432;0,6041911244392395
3990000;-406,0616760253906;-376,9048156738281;0,0223696622997522;0,2288607507944107
4020000;-406,2132873535156;-378,5751037597656;0,0179168116301298;2,0099897384643555
4050000;-402,56781005859375;-379,9674072265625;0,01483363378793;1,6240333318710327
4080000;-399,69970703125;-380,6596984863281;0,0130084101110696;2,2694077491760254
4110000;-400,4549865722656;-381,2934265136719;0,0137419775128364;1,1055711507797241
4140000;-401,4575500488281;-382,52825927734375;0,0136354565620422;1,3511072397232056
4170000;-401,033447265625;-382,8418884277344;0,0146623542532324;2,112433910369873
4200000;-399,5997619628906;-383,8670349121094;0,0173202808946371;1,3189923763275146
4230000;-399,7747497558594;-384,6984252929688;0,0176723450422287;1,0067867040634155
4260000;-393,3893737792969;-384,2770385742188;0,0152675043791532;0,336212158203125
4290000;-391,2827758789063;-384,3752136230469;0,0167145356535911;1,580741286277771
4320000;-393,878173828125;-385,613037109375;0,0169557202607393;1,643964171409607
4350000;-391,6024475097656;-386,4042663574219;0,0199434347450733;1,6925253868103027
4380000;-387,5840759277344;-386,5213928222656;0,014312750659883;1,5023107528686523
4410000;-389,8930969238281;-387,5791015625;0,0211378000676631;1,9812597036361694
4440000;-394,6587524414063;-389,1988525390625;0,0160767436027526;2,057697296142578
4470000;-407,3195190429688;-389,7391662597656;0,0134315192699432;1,4911903142929077
4500000;-410,89654541015625;-390,9655151367188;0,0205516386777162;1,5770375728607178
