Step;ppo_expanded;ppg_expanded
30000;0,004989521112293;0,004989521112293005
60000;0,0049790418706834;0,004979041870683432
90000;0,0049633234739303;0,004963323473930359
120000;0,0049476050771772;0,004947605077177286
150000;0,0049318866804242;0,004931886680424213
180000;0,0049161678180098;0,004916167818009853
210000;0,0049056890420615;0,004905689042061567
240000;0,0048899706453084;0,004889970645308495
270000;0,0048742517828941;0,0048742517828941345
300000;0,004858533386141;0,004858533386141062
330000;0,0048428149893879;0,004842814989387989
360000;0,0048270965926349;0,004827096592634916
390000;0,0048113781958818;0,004811378195881844
420000;0,0048008989542722;0,00480089895427227
450000;0,0047851805575191;0,0047851805575191975
480000;0,0047694621607661;0,004769462160766125
510000;0,0047537432983517;0,004753743298351765
540000;0,0047380249015986;0,004738024901598692
570000;0,0047223065048456;0,004722306504845619
600000;0,0047065881080925;0,0047065881080925465
630000;0,0046961088664829;0,004696108866482973
660000;0,0046803904697299;0,0046803904697299
690000;0,0046646720729768;0,004664672072976828
720000;0,0046489536762237;0,004648953676223755
750000;0,0046332348138093;0,004633234813809395
780000;0,0046175164170563;0,004617516417056322
810000;0,0046017980203032;0,004601798020303249
840000;0,0045913187786936;0,004591318778693676
870000;0,0045756003819406;0,004575600381940603
900000;0,0045598819851875;0,0045598819851875305
930000;0,0045441635884344;0,004544163588434458
960000;0,0045284451916813;0,004528445191681385
990000;0,004512726329267;0,004512726329267025
1020000;0,0044970079325139;0,004497007932513952
1050000;0,0044865291565656;0,004486529156565666
1080000;0,0044708102941513;0,004470810294151306
1110000;0,0044550918973982;0,004455091897398233
1140000;0,0044393735006451;0,004439373500645161
1170000;0,004423655103892;0,004423655103892088
1200000;0,004407936707139;0,004407936707139015
1230000;0,0043922178447246;0,004392217844724655
1260000;0,0043817390687763;0,004381739068776369
1290000;0,0043660206720232;0,004366020672023296
1320000;0,0043503018096089;0,004350301809608936
1350000;0,0043345834128558;0,004334583412855864
1380000;0,0043188650161027;0,004318865016102791
1410000;0,0043031466193497;0,004303146619349718
1440000;0,0042874282225966;0,004287428222596645
1470000;0,004276948980987;0,004276948980987072
1500000;0,0042612305842339;0,004261230584233999
1530000;0,0042455121874809;0,0042455121874809265
1560000;0,0042297933250665;0,0042297933250665665
1590000;0,0042140749283134;0,004214074928313494
1620000;0,0041983565315604;0,004198356531560421
1650000;0,0041826381348073;0,004182638134807348
1680000;0,0041721588931977;0,004172158893197775
1710000;0,0041564404964447;0,004156440496444702
1740000;0,0041407220996916;0,004140722099691629
1770000;0,0041250037029385;0,004125003702938557
1800000;0,0041092848405241;0,004109284840524197
1830000;0,0040935664437711;0,004093566443771124
1860000;0,004077848047018;0,004077848047018051
1890000;0,0040673688054084;0,004067368805408478
1920000;0,0040516504086554;0,004051650408655405
1950000;0,0040359320119023;0,004035932011902332
1980000;0,0040202136151492;0,00402021361514926
2010000;0,0040044952183961;0,004004495218396187
2040000;0,0039887763559818;0,003988776355981827
2070000;0,0039730579592287;0,003973057959228754
2100000;0,0039625791832804;0,003962579183280468
2130000;0,0039468603208661;0,003946860320866108
2160000;0,003931141924113;0,003931141924113035
2190000;0,0039154235273599;0,0039154235273599625
2220000;0,0038997048977762;0,003899704897776246
2250000;0,0038839865010231;0,0038839865010231733
2280000;0,0038682681042701;0,0038682681042701006
2310000;0,0038577890954911;0,003857789095491171
2340000;0,0038420704659074;0,0038420704659074545
2370000;0,0038263520691543;0,0038263520691543818
2400000;0,0038106334395706;0,0038106334395706654
2430000;0,0037949150428175;0,0037949150428175926
2460000;0,0037791964132338;0,0037791964132338762
2490000;0,0037634780164808;0,0037634780164808035
2520000;0,0037529990077018;0,0037529990077018738
2550000;0,0037372806109488;0,003737280610948801
2580000;0,003721561981365;0,0037215619813650846
2610000;0,003705843584612;0,003705843584612012
2640000;0,0036901249550282;0,0036901249550282955
2670000;0,0036744065582752;0,0036744065582752228
2700000;0,0036586879286915;0,0036586879286915064
2730000;0,0036482089199125;0,0036482089199125767
2760000;0,0036324905231595;0,003632490523159504
2790000;0,0036167718935757;0,0036167718935757875
2820000;0,0036010534968227;0,003601053496822715
2850000;0,0035853351000696;0,003585335100069642
2880000;0,0035696164704859;0,0035696164704859257
2910000;0,0035538980737328;0,003553898073732853
2940000;0,0035434190649539;0,0035434190649539232
2970000;0,0035277004353702;0,003527700435370207
3000000;0,0035119820386171;0,003511982038617134
3030000;0,0034962634090334;0,0034962634090334177
3060000;0,0034805450122803;0,003480545012280345
3090000;0,0034648266155272;0,0034648266155272722
3120000;0,0034491079859435;0,003449107985943556
3150000;0,0034386289771646;0,003438628977164626
3180000;0,0034229105804115;0,0034229105804115534
3210000;0,0034071919508278;0,003407191950827837
3240000;0,0033914735540747;0,0033914735540747643
3270000;0,003375754924491;0,003375754924491048
3300000;0,0033600365277379;0,003360036527737975
3330000;0,0033443178981542;0,0033443178981542587
3360000;0,0033338388893753;0,003333838889375329
3390000;0,0033181204926222;0,0033181204926222563
3420000;0,0033024020958691;0,0033024020958691835
3450000;0,0032866834662854;0,003286683466285467
3480000;0,0032709650695323;0,0032709650695323944
3510000;0,0032552464399486;0,003255246439948678
3540000;0,0032395280431956;0,0032395280431956053
3570000;0,0032290490344166;0,0032290490344166756
3600000;0,0032133304048329;0,003213330404832959
3630000;0,0031976120080798;0,0031976120080798864
3660000;0,0031818936113268;0,0031818936113268137
3690000;0,003166174981743;0,0031661749817430973
3720000;0,00315045658499;0,0031504565849900246
3750000;0,0031347379554063;0,003134737955406308
3780000;0,0031242589466273;0,0031242589466273785
3810000;0,0031085405498743;0,0031085405498743057
3840000;0,0030928219202905;0,0030928219202905893
3870000;0,0030771035235375;0,0030771035235375166
3900000;0,0030613848939538;0,0030613848939538
3930000;0,0030456664972007;0,0030456664972007275
3960000;0,0030299481004476;0,0030299481004476547
3990000;0,0030194690916687;0,003019469091668725
4020000;0,003003750462085;0,0030037504620850086
4050000;0,0029880320653319;0,002988032065331936
4080000;0,0029723134357482;0,0029723134357482195
4110000;0,0029565950389951;0,0029565950389951468
4140000;0,0029408764094114;0,0029408764094114304
4170000;0,0029251580126583;0,0029251580126583576
4200000;0,0029146790038794;0,002914679003879428
4230000;0,0028989606071263;0,002898960607126355
4260000;0,0028832419775426;0,0028832419775426388
4290000;0,0028675235807895;0,002867523580789566
4320000;0,0028518049512058;0,0028518049512058496
4350000;0,0028360865544527;0,002836086554452777
4380000;0,002820367924869;0,0028203679248690605
4410000;0,0028098889160901;0,002809888916090131
4440000;0,002794170519337;0,002794170519337058
4470000;0,0027784518897533;0,0027784518897533417
4500000;0,0027627334930002;0,002762733493000269
4530000;0,0027470150962471;0,002747015096247196
4560000;0,0027312964666634;0,00273129646666348
4590000;0,0027155780699104;0,002715578069910407
4620000;0,0027050990611314;0,0027050990611314774
4650000;0,0026893804315477;0,002689380431547761
4680000;0,0026736620347946;0,0026736620347946882
4710000;0,0026579434052109;0,002657943405210972
4740000;0,0026422250084578;0,002642225008457899
4770000;0,0026265066117048;0,0026265066117048264
4800000;0,0026107879821211;0,00261078798212111
4830000;0,0026003089733421;0,0026003089733421803
4860000;0,0025845905765891;0,0025845905765891075
4890000;0,0025688719470053;0,002568871947005391
4920000;0,0025531535502523;0,0025531535502523184
4950000;0,0025374349206686;0,002537434920668602
4980000;0,0025217165239155;0,0025217165239155293
5010000;0,0025059978943318;0,002505997894331813
5040000;0,0024955188855528;0,002495518885552883
5070000;0,0024798004887998;0,0024798004887998104
5100000;0,0024640820920467;0,0024640820920467377
5130000;0,002448363462463;0,0024483634624630213
5160000;0,0024326450657099;0,0024326450657099485
5190000;0,0024169264361262;0,002416926436126232
5220000;0,0024012080393731;0,0024012080393731594
5250000;0,0023907290305942;0,0023907290305942297
5280000;0,0023750104010105;0,0023750104010105133
5310000;0,0023592920042574;0,0023592920042574406
5340000;0,0023435736075043;0,002343573607504368
5370000;0,0023278549779206;0,0023278549779206514
5400000;0,0023121365811675;0,0023121365811675787
5430000;0,0022964179515838;0,0022964179515838623
5460000;0,0022859389428049;0,0022859389428049326
5490000;0,0022702205460518;0,00227022054605186
5520000;0,0022545019164681;0,0022545019164681435
5550000;0,002238783519715;0,0022387835197150707
5580000;0,0022230648901313;0,0022230648901313543
5610000;0,0022073464933782;0,0022073464933782816
5640000;0,0021916280966252;0,002191628096625209
5670000;0,0021811490878462;0,002181149087846279
5700000;0,0021654304582625;0,0021654304582625628
5730000;0,0021497120615094;0,00214971206150949
5760000;0,0021339934319257;0,0021339934319257736
5790000;0,0021182750351727;0,002118275035172701
5820000;0,0021025564055889;0,0021025564055889845
5850000;0,0020868380088359;0,0020868380088359118
5880000;0,0020763590000569;0,002076359000056982
5910000;0,0020606406033039;0,0020606406033039093
5940000;0,0020449219737201;0,002044921973720193
5970000;0,0020292035769671;0,00202920357696712
6000000;0,0020134849473834;0,0020134849473834038
6030000;0,0019977665506303;0,001997766550630331
6060000;0,0019820479210466;0,0019820479210466146
6090000;0,0019715689122676;0,001971568912267685
6120000;0,0019558505155146;0,001955850515514612
6150000;0,0019401320023462;0,0019401320023462176
6180000;0,0019244134891778;0,001924413489177823
6210000;0,0019086949760094;0,0019086949760094285
6240000;0,001892976462841;0,001892976462841034
6270000;0,0018772579496726;0,0018772579496726394
6300000;0,001866779057309;0,0018667790573090315
6330000;0,0018510605441406;0,001851060544140637
6360000;0,0018353420309722;0,0018353420309722424
6390000;0,0018196235178038;0,0018196235178038478
6420000;0,0018039050046354;0,0018039050046354532
6450000;0,001788186491467;0,0017881864914670587
6480000;0,0017724679782986;0,001772467978298664
6510000;0,0017619889695197;0,0017619889695197344
6540000;0,0017462704563513;0,0017462704563513398
