Step;sac_expanded;droQ_expanded;ppo_expanded;ppg_expanded
30000;-158,95162963867188;-162,05763244628906;-179,5419921875;-178,49078369140625
60000;-157,353515625;-162,73243713378906;-173,5321807861328;-179,96124267578125
90000;-155,05467224121094;-158,29042053222656;-168,9163360595703;-175,49639892578125
120000;-151,93289184570312;-163,2069854736328;-169,0353546142578;-175,3517608642578
150000;-147,68402099609375;-162,06736755371094;-164,74598693847656;-173,59967041015625
180000;-146,0982208251953;-160,9849853515625;-158,62423706054688;-173,2585906982422
210000;-148,84426879882812;-156,68971252441406;-160,91517639160156;-171,6727294921875
240000;-135,89041137695312;-154,95367431640625;-157,0633544921875;-163,80416870117188
270000;-126,23979949951172;-137,41787719726562;-151,97108459472656;-162,79920959472656
300000;-119,15927124023438;-125,29550170898438;-147,39173889160156;-158,9722137451172
330000;-114,69548034667967;-143,13067626953125;-144,4990692138672;-150,16477966308594
360000;-122,99718475341795;-144,2952880859375;-129,42515563964844;-154,12484741210938
390000;-174,3151397705078;-143,40467834472656;-110,91900634765624;-150,55857849121094
420000;-167,99462890625;-142,93687438964844;-117,93738555908205;-140,09478759765625
450000;-154,0651092529297;-151,012451171875;-95,61933135986328;-124,89669036865234
480000;-136,68630981445312;-161,05235290527344;-93,32789611816406;-129,1282501220703
510000;-148,76161193847656;-148,2674560546875;-100,18502044677734;-105,5301742553711
540000;-134,73435974121094;-141,52090454101562;-80,81404876708984;-117,0033950805664
570000;-96,52975463867188;-131,98741149902344;-85,60868072509766;-91,45050048828125
600000;-131,36952209472656;-129,6758575439453;-83,78541564941406;-99,37760162353516
630000;-132,52879333496094;-126,79366302490234;-77,94776153564453;-97,51315307617188
660000;-132,33876037597656;-119,46110534667967;-83,3394546508789;-96,37223815917969
690000;-122,62051391601562;-121,48782348632812;-83,24950408935547;-82,51360321044922
720000;-93,12742614746094;-128,13558959960938;-68,0562744140625;-85,80773162841797
750000;-75,53974914550781;-127,6050796508789;-77,33517456054688;-83,67700958251953
780000;-17,62386703491211;-114,6217803955078;-65,15351104736328;-77,22244262695312
810000;10,674637794494627;-93,6957015991211;-68,09721374511719;-77,36864471435547
840000;50,46949768066406;-102,56599426269533;-65,67466735839844;-71,48973846435547
870000;182,0287933349609;-94,98567962646484;-65,73307800292969;-64,26959991455078
900000;220,5736846923828;-104,68964385986328;-49,529090881347656;-61,916873931884766
930000;266,13189697265625;-82,98444366455078;-57,01704788208008;-59,34149932861328
960000;272,1302490234375;-82,53880310058594;-31,05719566345215;-69,68415832519531
990000;477,0535278320313;-78,7934799194336;-41,52180099487305;-72,1831283569336
1020000;515,5586547851562;-75,1727523803711;-18,32060432434082;-67,40052032470703
1050000;641,9149169921875;-78,06851196289062;-36,14371490478516;-46,67036437988281
1080000;930,1597290039062;-81,19075775146484;-26,292633056640625;-49,80992126464844
1110000;821,6104125976562;-66,81371307373047;-26,04211807250977;-49,54353332519531
1140000;952,6065673828124;-57,11914443969727;-8,40090560913086;-47,39567184448242
1170000;925,8604125976562;-63,40980529785156;-4,101277828216553;-70,9847412109375
1200000;1107,41552734375;-61,0020751953125;-5,018884658813477;-53,70296859741211
1230000;1077,7257080078125;-57,20598983764648;26,402660369873047;-74,8786392211914
1260000;1090,5281982421875;-45,241607666015625;37,226539611816406;-60,03678512573242
1290000;1455,5281982421875;-40,12425231933594;39,41518783569336;-54,059532165527344
1320000;1547,321044921875;-37,6070556640625;27,28614616394043;-29,285249710083008
1350000;1598,2252197265625;-5,321812152862549;92,0792236328125;-30,72855567932129
1380000;1748,6046142578125;41,28690719604492;77,23375701904297;-33,43649673461914
1410000;1726,14599609375;109,6782684326172;34,567745208740234;-0,1771218478679657
1440000;1728,0487060546875;166,88917541503906;62,03732681274414;-20,582225799560547
1470000;1907,9405517578125;191,57833862304688;100,15740966796876;-12,681723594665527
1500000;1873,197265625;237,1532287597656;100,53731536865234;-6,054744243621826
1530000;1907,6090087890625;462,29248046875;78,62166595458984;10,405714988708496
1560000;1752,1510009765625;519,5673217773438;109,0170440673828;15,748411178588867
1590000;1940,02490234375;585,0057373046875;86,53125;0,7123711705207825
1620000;2070,5546875;721,5018310546875;133,59405517578125;-3,7424721717834473
1650000;2160,892333984375;817,988525390625;145,17845153808594;32,79521179199219
1680000;2176,36962890625;897,0113525390625;219,32345581054688;53,07026290893555
1710000;1994,3309326171875;1025,15966796875;233,00210571289065;35,371646881103516
1740000;2113,862060546875;1207,489013671875;249,48878479003903;38,97333526611328
1770000;2196,5732421875;1272,3656005859375;264,4479064941406;62,63404846191406
1800000;77,08432006835938;1117,4632568359375;293,5888366699219;29,558210372924805
1830000;-139,85772705078125;442,5807800292969;229,6779022216797;58,90049743652344
1860000;-133,49745178222656;148,6787109375;291,3627319335937;54,166316986083984
1890000;-128,25791931152344;506,70892333984375;252,2345733642578;44,37712478637695
1920000;-71,49983215332031;1033,1356201171875;360,3414306640625;61,407798767089844
1950000;-115,8384017944336;1134,790283203125;301,4056091308594;121,24934387207031
1980000;-126,64887237548828;1251,576171875;327,4796142578125;139,38023376464844
2010000;-36,65154266357422;1238,1551513671875;368,9676818847656;141,08399963378906
2040000;13,44959545135498;1529,242919921875;256,1810302734375;128,06773376464844
2070000;145,68394470214844;1552,845947265625;374,2915649414063;164,38925170898438
2100000;164,7071990966797;1675,2286376953125;380,5790100097656;197,157470703125
2130000;466,2769470214844;1568,5374755859375;407,5776672363281;175,83982849121094
2160000;289,80352783203125;1739,7557373046875;387,2243347167969;204,15142822265625
2190000;53,845802307128906;1533,5771484375;440,4097900390625;228,75515747070312
2220000;368,9169921875;1321,59375;380,3980102539063;229,61474609375
2250000;775,7172241210938;1599,495361328125;471,8179931640625;231,95420837402344
2280000;986,6367797851562;1632,856689453125;426,54095458984375;273,5283203125
2310000;1349,9820556640625;2070,10009765625;530,8358154296875;298,86016845703125
2340000;1656,1246337890625;2072,279541015625;484,7854309082031;282,1521911621094
2370000;1798,896728515625;2089,505126953125;549,4446411132812;313,4367980957031
2400000;2144,506103515625;2016,3424072265625;629,3403930664062;332,6227111816406
2430000;1795,2574462890625;1937,9622802734373;536,0637817382812;360,70684814453125
2460000;1926,564453125;2044,7547607421875;551,9517211914062;359,6061096191406
2490000;1771,516845703125;2126,802490234375;618,8550415039062;330,1659240722656
2520000;1469,6290283203125;1981,0914306640625;591,955078125;363,5826721191406
2550000;1719,194580078125;1961,687744140625;562,8650512695312;360,1180114746094
2580000;1838,9649658203125;2086,192138671875;616,70166015625;462,03948974609375
2610000;1551,0115966796875;2146,595947265625;653,2675170898438;385,4947509765625
2640000;1648,921875;2199,279541015625;635,6476440429688;470,0965576171875
2670000;1278,769775390625;2187,198486328125;658,7258911132812;445,7524719238281
2700000;-167,93447875976562;2222,4541015625;702,368408203125;471,6998596191406
2730000;-153,192138671875;2260,8955078125;687,1005859375;443,19952392578125
2760000;-119,92432403564452;2441,56298828125;629,0400390625;436,78497314453125
2790000;-69,2486801147461;2319,25537109375;802,5940551757812;469,8212585449219
2820000;-63,38521957397461;2249,3251953125;772,6598510742188;446,8794860839844
2850000;33,892967224121094;2204,06298828125;829,3661499023438;536,0693969726562
2880000;224,5636138916016;2351,08154296875;783,91015625;505,5859680175781
2910000;489,7929382324219;2215,64111328125;803,5795288085938;588,191650390625
2940000;590,6802368164062;2178,191162109375;824,9191284179688;529,2474365234375
2970000;935,3226928710938;2464,7021484375;808,091796875;494,9212646484375
3000000;943,6671142578124;2488,4912109375;619,1769409179688;608,3012084960938
3030000;1575,4527587890625;2446,94287109375;809,141357421875;559,3717651367188
3060000;806,8670043945312;2404,7275390625;825,4127197265625;590,8544921875
3090000;1614,7713623046875;2410,524658203125;963,0473022460938;599,4632568359375
3120000;1344,74462890625;2406,89697265625;752,6780395507812;623,2372436523438
3150000;934,5691528320312;2424,161865234375;877,7489013671875;653,5628051757812
3180000;1149,677978515625;2404,938232421875;851,132080078125;689,4798583984375
3210000;1157,4920654296875;2534,400634765625;420,637939453125;646,0418090820312
3240000;1283,8968505859375;2572,78173828125;856,2423095703125;680,7916259765625
3270000;1393,6845703125;2431,353515625;941,7483520507812;696,6690673828125
3300000;1635,65380859375;2509,51513671875;845,8671264648438;772,9110717773438
3330000;1714,7625732421875;2392,4384765625;825,8927001953125;715,7203369140625
3360000;1789,0673828125;2529,732177734375;867,6808471679688;736,432373046875
3390000;1746,8699951171875;2331,94921875;931,6710205078124;827,92919921875
3420000;2112,0498046875;2601,64892578125;977,4924926757812;754,9641723632812
3450000;2109,322509765625;2474,373291015625;951,7396850585938;800,4193725585938
3480000;2256,439697265625;2397,99169921875;854,453369140625;873,298095703125
3510000;2271,40478515625;2593,935791015625;874,5684204101562;681,58251953125
3540000;2236,028076171875;2525,4140625;994,3628540039062;665,833984375
3570000;2206,208740234375;2504,91064453125;1002,7816772460938;800,4221801757812
3600000;2210,853759765625;2571,15625;1115,60693359375;892,0675048828125
3630000;2307,775634765625;2651,44921875;1022,976806640625;905,7291870117188
3660000;1761,8343505859375;2607,35888671875;1051,181640625;816,80224609375
3690000;2197,329833984375;2451,8408203125;1107,7667236328125;892,7235107421875
3720000;2230,8212890625;2624,246337890625;943,5130615234376;891,6494140625
3750000;2262,66064453125;2532,978515625;1042,4520263671875;895,9456787109375
3780000;2383,72021484375;2543,378662109375;1070,01611328125;924,384521484375
3810000;2474,608642578125;2611,88623046875;1049,961181640625;934,860107421875
3840000;2426,48876953125;2709,1123046875;1060,5089111328125;906,9401245117188
3870000;2451,715087890625;2593,593017578125;1110,674072265625;952,9812622070312
3900000;2384,742919921875;2481,87890625;1186,251220703125;900,5663452148438
3930000;2163,555419921875;2700,716552734375;1209,507080078125;962,9949340820312
3960000;797,3015747070312;2658,781005859375;1151,678466796875;814,355712890625
3990000;51,920013427734375;2706,83935546875;1191,600341796875;923,6873168945312
4020000;349,7625732421875;2707,6591796875;1120,5943603515625;1011,819091796875
4050000;998,1580200195312;2724,374755859375;1171,2216796875;1016,8118286132812
4080000;1854,1180419921875;2690,75390625;1230,0166015625;998,13916015625
4110000;2152,76513671875;2602,095703125;994,287841796875;1010,162109375
4140000;2109,412841796875;2648,25927734375;1177,925048828125;1029,3751220703125
4170000;1874,8944091796875;2651,16455078125;1118,1658935546875;1082,0655517578125
4200000;1918,41748046875;2735,38720703125;1101,3984375;1080,4771728515625
4230000;2211,413818359375;2679,919677734375;1227,033935546875;943,2320556640625
4260000;2175,9267578125;2742,2998046875;1139,658447265625;1004,8214111328125
4290000;2419,9453125;2688,571044921875;1165,443359375;1150,4027099609375
4320000;2310,55712890625;2672,557861328125;1162,7105712890625;1008,0474853515625
4350000;2170,4794921875;2465,378662109375;1099,117919921875;1005,8678588867188
4380000;2451,734619140625;2648,2734375;1112,0576171875;1088,853515625
4410000;2504,2734375;2783,38720703125;1159,4249267578125;1152,2413330078125
4440000;2282,09326171875;2755,865234375;1222,103759765625;1107,7916259765625
4470000;2266,60205078125;2612,196044921875;1242,222412109375;1146,3983154296875
4500000;2422,0390625;2731,865234375;1272,5050048828125;1153,0579833984375
4530000;2299,91943359375;2805,544921875;1328,8486328125;1051,7744140625
4560000;2501,615966796875;2653,104248046875;1305,3564453125;1106,6611328125
4590000;2516,520751953125;2686,095947265625;1336,0447998046875;1112,521240234375
4620000;2011,6544189453125;2773,698974609375;1336,1968994140625;872,162841796875
4650000;2658,624267578125;2843,8681640625;1308,2183837890625;1176,21826171875
4680000;2468,635009765625;2565,569580078125;1369,5322265625;1162,5870361328125
4710000;2551,27734375;2498,07421875;1424,0272216796875;1145,585693359375
4740000;2460,386474609375;2714,796875;1337,0325927734375;1268,5728759765625
4770000;2326,31201171875;2655,8115234375;1197,3543701171875;1233,85107421875
4800000;2391,869873046875;2701,86474609375;1228,244140625;1134,7625732421875
4830000;2551,07568359375;2795,74560546875;1365,79833984375;1172,135009765625
4860000;2682,231201171875;2750,023681640625;1316,8677978515625;1160,0614013671875
4890000;2647,94580078125;2801,891845703125;1363,8275146484375;1154,2210693359375
4920000;2739,90185546875;2845,904296875;1404,3160400390625;1218,3602294921875
4950000;2360,9970703125;2801,21533203125;1318,518310546875;1196,251220703125
4980000;1925,021484375;2777,650146484375;1269,063232421875;1291,63720703125
5010000;;;1381,2611083984375;1253,7293701171875
5040000;;;1309,943359375;1259,897705078125
5070000;;;1419,272216796875;1281,3443603515625
5100000;;;1549,976806640625;1371,8963623046875
5130000;;;1429,8355712890625;1376,7581787109375
5160000;;;1422,2059326171875;1334,8699951171875
5190000;;;1449,5902099609375;1345,8023681640625
