Step;ppg_expanded
360000;0,0
690000;0,0
1020000;0,0
1350000;0,0
1710000;0,0
2040000;0,0
2370000;0,0
2700000;0,0
3030000;0,0
3390000;0,0
3720000;0,0
4050000;0,0
4380000;0,0
4710000;0,0
5070000;0,0
5400000;0,0
5730000;0,0
6060000;0,0
6390000;0,0
6750000;0,0
7080000;0,0
7410000;0,0
7740000;0,0
8070000;0,0
8430000;0,0
8760000;0,0
9090000;0,0
9420000;0,0
9750000;0,0
