Step;sac_expanded;droQ_expanded
30000;56,85873794555664;59,38378143310547
60000;138,69482421875;139,08599853515625
90000;188,7407989501953;184,54498291015625
120000;215,3102264404297;207,56141662597656
150000;226,87648010253903;215,98326110839844
180000;235,16616821289065;214,06210327148438
210000;231,38922119140625;207,68312072753906
240000;227,5430450439453;201,3845977783203
270000;221,95718383789065;192,73062133789062
300000;212,27151489257807;181,6532745361328
330000;203,2636260986328;170,20494079589844
360000;196,0666046142578;161,46450805664062
390000;185,2634735107422;152,4261932373047
420000;178,0100860595703;144,8251190185547
450000;170,34742736816406;136,94456481933594
480000;164,40110778808594;128,9098358154297
510000;156,75057983398438;121,75635528564453
540000;150,86924743652344;115,2052993774414
570000;145,0525665283203;109,8945541381836
600000;142,72691345214844;103,5179443359375
630000;139,54518127441406;98,91069030761719
660000;132,8486785888672;93,4535140991211
690000;125,39436340332033;88,47299194335938
720000;120,68840026855467;84,17627716064453
750000;117,00984191894533;79,47830200195312
780000;115,16631317138672;78,36209106445312
810000;116,0845184326172;73,7509536743164
840000;116,4356689453125;67,11634063720703
870000;118,09385681152344;63,51795959472656
900000;115,87875366210938;59,90819549560547
930000;115,06375122070312;56,43281173706055
960000;110,7123794555664;53,862186431884766
990000;120,14704132080078;51,68288040161133
1020000;124,98304748535156;49,03981018066406
1050000;131,3357391357422;46,48369216918945
1080000;144,45840454101562;44,581565856933594
1110000;144,3970184326172;42,66659927368164
1140000;154,08853149414062;40,50482940673828
1170000;159,86105346679688;38,09966278076172
1200000;169,98109436035156;36,29487991333008
1230000;169,77838134765625;36,10874557495117
1260000;171,61276245117188;34,020015716552734
1290000;198,2660675048828;32,12604904174805
1320000;203,2091522216797;31,282222747802734
1350000;212,18235778808597;31,506580352783203
1380000;222,85826110839844;31,427522659301758
1410000;224,1104278564453;31,483827590942383
1440000;230,88397216796875;32,34065628051758
1470000;241,68690490722656;32,07967758178711
1500000;243,19351196289065;33,781333923339844
1530000;242,1822967529297;38,9267692565918
1560000;239,65020751953125;40,54071044921875
1590000;254,00027465820312;44,38759994506836
1620000;270,8542175292969;48,51454162597656
1650000;278,7613220214844;54,342506408691406
1680000;285,1636047363281;60,18438720703125
1710000;283,0457458496094;70,3820571899414
1740000;293,1587219238281;80,23755645751953
1770000;303,59521484375;91,14230346679688
1800000;269,1656188964844;89,64862823486328
1830000;257,0266418457031;90,10948944091797
1860000;260,7229309082031;89,19886779785156
1890000;260,01983642578125;92,0167465209961
1920000;230,0363006591797;108,02781677246094
1950000;250,8861846923828;113,88724517822266
1980000;240,58580017089844;120,13578796386719
2010000;236,83969116210935;122,7926254272461
2040000;230,01858520507807;139,96969604492188
2070000;232,1181488037109;146,69046020507812
2100000;223,18096923828125;159,54588317871094
2130000;240,1993560791016;159,610107421875
2160000;223,7325592041016;173,605712890625
2190000;353,4622497558594;183,9060516357422
2220000;359,86968994140625;199,1992950439453
2250000;373,6761779785156;207,73263549804688
2280000;377,0359802246094;205,51588439941406
2310000;395,4730529785156;219,1879119873047
2340000;410,7349853515625;220,28065490722656
2370000;409,7028503417969;224,15269470214844
2400000;424,1336059570313;228,39370727539062
2430000;410,7625427246094;233,55885314941406
2460000;417,3480224609375;238,0881805419922
2490000;405,3516540527344;247,23544311523438
2520000;395,0475769042969;249,27908325195312
2550000;404,1012878417969;251,37281799316406
2580000;416,5808410644531;253,08416748046875
2610000;430,1982421875;260,2297668457031
2640000;425,8942260742188;266,5826721191406
2670000;321,4320983886719;265,3570861816406
2700000;299,9781494140625;271,01177978515625
2730000;310,5062255859375;276,6197814941406
2760000;287,8984375;286,0794677734375
2790000;280,6907958984375;285,1100769042969
2820000;270,18878173828125;292,54425048828125
2850000;274,3477478027344;302,0082092285156
2880000;269,24334716796875;308,57464599609375
2910000;267,33935546875;303,85211181640625
2940000;276,0580749511719;307,98291015625
2970000;290,05877685546875;316,67596435546875
3000000;283,6611328125;318,4419250488281
3030000;314,8363037109375;320,1549072265625
3060000;278,6863098144531;320,0712890625
3090000;315,5948791503906;322,99615478515625
3120000;306,6023254394531;336,5038757324219
3150000;284,1872253417969;340,4244384765625
3180000;286,7864990234375;338,7524719238281
3210000;286,74853515625;342,3257141113281
3240000;313,5536193847656;342,4554443359375
3270000;326,3219909667969;337,7297668457031
3300000;320,5519104003906;338,48126220703125
3330000;338,8759155273437;334,9117431640625
3360000;325,2738037109375;348,2320556640625
3390000;302,4945068359375;338,80322265625
3420000;339,7110900878906;362,3401184082031
