Step;sac_expanded;droQ_expanded
30000;0,8138880729675293;0,8138088583946228
60000;0,5232595205307007;0,5231732726097107
90000;0,3336908519268036;0,33360421657562256
120000;0,2129021137952804;0,21273526549339294
150000;0,1359198242425918;0,13565297424793243
180000;0,0868249237537384;0,08650988340377808
210000;0,0555178560316562;0,055206168442964554
240000;0,0355671346187591;0,03525731340050697
270000;0,0228654667735099;0,022548509761691093
300000;0,0147792715579271;0,014458960853517056
330000;0,0096182208508253;0,009326906874775887
360000;0,0063110771588981;0,006073206663131714
390000;0,0042593544349074;0,004010177217423916
420000;0,0028701166156679;0,0026495028287172318
450000;0,0019662689883261;0,0017879691440612078
480000;0,0013700630515813;0,0012450460344552994
510000;0,0010113470489159;0,0009019554127007723
540000;0,0008808193379081;0,0007008896791376173
570000;0,0008750889101065;0,000635487784165889
600000;0,0008333955775015;0,0006136239971965551
630000;0,0009951171232387;0,0005886314320378006
660000;0,0010576683562248;0,0005731909768655896
690000;0,0011763940565288;0,0005672667175531387
720000;0,0012322547845542;0,0005789496353827417
750000;0,0014140240382403;0,0005985578172840178
780000;0,0016184026608243;0,0006056653219275177
810000;0,0017362319631502;0,0006240424700081348
840000;0,0019656850490719;0,0006536893197335303
870000;0,0022108021657913;0,0007119710789993405
900000;0,0025405827909708;0,0007817264995537698
930000;0,0032378938049077;0,0007955215405672789
960000;0,0038954927586019;0,0008178844000212848
990000;0,004407487809658;0,0008497324888594449
1020000;0,005285351537168;0,0008591134683229029
1050000;0,0064428485929965;0,0008318578475154936
1080000;0,0077711693011224;0,0008386413101106882
1110000;0,0091254133731126;0,0008300606277771294
1140000;0,0104559734463691;0,00079366221325472
1170000;0,0119561906903982;0,0007988882134668529
1200000;0,0131728108972311;0,0008380979998037219
1230000;0,015102669596672;0,0008685410139150918
1260000;0,0167115088552236;0,0009087210055440664
1290000;0,0172046087682247;0,000981269869953394
1320000;0,0183179751038551;0,0010577362263575196
1350000;0,0198994241654872;0,0011728008976206183
1380000;0,0198804307729005;0,0013150426093488932
1410000;0,0200308840721845;0,001506833010353148
1440000;0,0202375818043947;0,0017630617367103696
1470000;0,0200917311012744;0,002108003944158554
1500000;0,0198062919080257;0,002474434906616807
1530000;0,0198122225701808;0,0029519558884203434
1560000;0,0194538682699203;0,0034915399737656116
1590000;0,0194018185138702;0,004207078833132982
1620000;0,0193641576915979;0,004883957095444202
1650000;0,0191818065941333;0,005839386954903603
1680000;0,0189585164189338;0,007017886731773615
1710000;0,0183571223169565;0,008142056874930859
1740000;0,0180978588759899;0,009692762978374958
1770000;0,0178368017077446;0,011167229153215885
1800000;0,0183145496994256;0,011914333328604698
1830000;0,0183323826640844;0,012716169469058514
1860000;0,0182685256004333;0,013845586217939854
1890000;0,0179565846920013;0,014192032627761364
1920000;0,0171418245881795;0,014641482383012772
1950000;0,0164808239787817;0,01518974918872118
1980000;0,0159495491534471;0,014998159371316433
2010000;0,0157974474132061;0,015083972364664078
2040000;0,0148170553147792;0,015449857339262962
2070000;0,0145213361829519;0,015486345626413822
2100000;0,0141603918746113;0,016112016513943672
2130000;0,0143507793545722;0,016457408666610718
2160000;0,0137376552447676;0,01701761968433857
2190000;0,0143577428534626;0,0171225443482399
2220000;0,015775041654706;0,017357386648654938
2250000;0,0168098025023937;0,017415275797247887
2280000;0,0171345043927431;0,017074663192033768
2310000;0,0175488498061895;0,016704877838492393
2340000;0,0195094253867864;0,016545336693525314
2370000;0,0214490424841642;0,016351841390132904
2400000;0,0220108181238174;0,01609933003783226
2430000;0,0224340725690126;0,01606939360499382
2460000;0,0235378518700599;0,015801643952727318
2490000;0,0241328906267881;0,015723228454589844
2520000;0,0243281703442335;0,015080275945365429
2550000;0,0242990870028734;0,015057927928864956
2580000;0,0242587886750698;0,015310581773519516
2610000;0,0241787284612655;0,015371330082416534
2640000;0,024033835157752;0,01525839138776064
2670000;0,0238625258207321;0,015038139186799526
