Step;ppg_expanded_looking
180000;168,45254516601562
330000;2071367,0
510000;740558,4375
660000;1130,9989013671875
810000;833,2181396484375
990000;191833,828125
1140000;67421,2109375
1290000;1819,72802734375
1410000;1284,6455078125
1500000;931659,6875
1590000;422146,4375
1680000;5716,35400390625
1770000;982,3065185546875
1860000;460817,15625
1950000;162188,84375
2040000;944,402099609375
2130000;1138,301513671875
2220000;1488,346435546875
2310000;1934,537353515625
2400000;1837,5345458984375
2490000;2507,232421875
2580000;1756,67822265625
2700000;1142,232666015625
2790000;561,7561645507812
2880000;90,37834167480469
2970000;33,333900451660156
3060000;30,068016052246094
3150000;45,30134963989258
3240000;38,58795928955078
3330000;30,340547561645508
3420000;42,570518493652344
3510000;23,070053100585938
3600000;42,021846771240234
3690000;30,873327255249023
3780000;32,165103912353516
3870000;25,07773780822754
3960000;31,61345672607422
4050000;25,91519546508789
4140000;37,4819450378418
4230000;27,916479110717773
4350000;30,13030433654785
4440000;33,13739013671875
4530000;35,60159683227539
4620000;30,46039581298828
4710000;23,980247497558594
4800000;37,3819694519043
4890000;40,05144119262695
4980000;48,20814514160156
5070000;37,87666702270508
5160000;68,75794982910156
5250000;57,84135055541992
5340000;52,96547317504883
5460000;68,92073822021484
5550000;59,620487213134766
5640000;50,133033752441406
5730000;82,44495391845703
5820000;56,55044937133789
5910000;58,79705810546875
6000000;56,92561721801758
6090000;83,01948547363281
6180000;73,65007781982422
6270000;81,7416763305664
6360000;66,11213684082031
6450000;91,09284973144531
6570000;68,95858001708984
6660000;86,20399475097656
6750000;99,464599609375
6840000;95,30030059814453
6930000;93,74249267578125
7020000;93,48983764648438
7110000;81,80140686035156
7200000;85,70178985595703
7290000;93,52108764648438
7380000;72,18184661865234
7470000;71,69635009765625
7560000;54,3589973449707
7680000;51,9913330078125
7770000;53,80746841430664
7860000;62,52723693847656
7950000;103,95098114013672
8040000;116,81228637695312
8130000;89,6197280883789
8220000;71,96268463134766
8340000;85,61201477050781
8430000;51,59494400024414
8520000;53,702205657958984
8610000;109,9367904663086
8700000;69,8147201538086
8790000;60,23290252685547
8880000;110,97602844238281
8970000;64,16527557373047
9090000;73,4098892211914
9180000;101,08377838134766
9270000;62,433982849121094
9360000;120,62260437011719
9450000;165,28297424316406
9540000;2289656,0
9630000;55344279552,0
9750000;65562951680,0
9840000;326960119808,0
