Step;ppg_expanded_looking
9930000;2991306833920,0
10020000;55877314805760,0
10110000;271790748205056,0
10200000;548180366196736,0
10290000;1726718721130496,0
10380000;3284958491705344,0
10500000;7861703022739456,0
10590000;1,1916566077636608e+16
10680000;3,2894420080656384e+16
10770000;9,91105622432809e+16
10860000;3,981459078806241e+17
10950000;1,1972063969998275e+18
11040000;3,691522329327698e+18
11130000;1,0076487506892685e+19
11220000;1,975305844550743e+19
11310000;4,10538070504584e+19
11430000;8,006620803622974e+19
11520000;1,495731462039499e+20
11610000;3,161622991749891e+20
11700000;5,5743142539666706e+20
11790000;9,721379379961963e+20
11880000;1,8215954296055183e+21
11970000;3,427950040745142e+21
12090000;6,998247043762443e+21
12180000;6,493828685848205e+21
12270000;7,526025009993899e+21
12360000;9,280038016216212e+21
12450000;1,001896668802698e+22
12540000;8,467556555291229e+21
12630000;1,0251776893064176e+22
12750000;7,469310616936468e+21
12840000;9,580483843407212e+21
12930000;7,461518826631164e+21
13020000;1,4477806164600947e+22
13110000;1,0177845801581262e+22
13200000;1,9113290329359267e+22
13290000;1,7094858041165103e+22
13410000;2,285942953540232e+22
13500000;2,12128864900379e+22
13590000;2,832547767653947e+22
13680000;4,300893058502513e+22
13770000;4,083934398253753e+22
13860000;7,286213508975991e+22
13950000;1,6652679317511135e+23
14040000;2,402494760816692e+23
14160000;2,035127312156811e+23
14250000;2,447674872278473e+23
14340000;1,5874857221548424e+23
14430000;4,21399790513225e+22
14520000;1,2415904457263459e+23
14610000;4,330581237606102e+22
14700000;1,2314731992354506e+23
14790000;5,770685130731371e+22
14880000;1,907755066343638e+23
14970000;1,2134114228578887e+23
15060000;3,3636171446370696e+23
15150000;1,6902782219217528e+23
15240000;4,6231658740215404e+23
15330000;2,8038548390320104e+23
15420000;5,68784456810563e+23
15510000;3,927450884449257e+23
15600000;7,991639700496766e+23
15690000;4,471732876983163e+23
15780000;4,687233361744573e+23
15870000;3,227538900312234e+23
15990000;3,6218056289704586e+23
16080000;2,3434880580669286e+23
16170000;3,170396867952187e+23
16260000;2,3152268895412682e+23
16350000;3,397874405706611e+23
16440000;2,6635578027202392e+23
16530000;3,862018265607176e+23
16620000;2,7289356577908512e+23
16710000;4,345193256669098e+23
16800000;3,4601145128448415e+23
16890000;4,539188152489888e+23
16980000;3,680127604432877e+23
17070000;4,7420854037660944e+23
17160000;3,626434608811455e+23
17250000;4,2830579933301926e+23
17340000;3,1828116708289815e+23
17430000;3,9269014452947175e+23
17520000;2,865071187902947e+23
17610000;4,07258676834466e+23
17700000;3,187192051970547e+23
17790000;4,0272121013789766e+23
17880000;2,8245214974340434e+23
17970000;3,904512430251193e+23
18060000;3,107755039727195e+23
18150000;3,875031867090426e+23
18240000;2,724269208000955e+23
18330000;3,617839939282581e+23
18420000;2,7759083820483106e+23
18510000;3,6962649026176706e+23
18600000;2,539249986237514e+23
18690000;3,072277123014651e+23
18780000;2,3856021189023956e+23
18870000;3,1076188508744634e+23
18960000;2,246199317332635e+23
19050000;2,8064880036621414e+23
19140000;2,3662569967750182e+23
19230000;2,971252556317461e+23
19320000;2,1630475559726427e+23
19410000;2,444855799055724e+23
19500000;1,953303932542908e+23
19590000;2,42152733312993e+23
19680000;1,8524013233236273e+23
19770000;2,1782383776597485e+23
19860000;1,8033401898469637e+23
19950000;2,312802331645877e+23
20040000;1,8255589688245736e+23
20130000;2,3651294755723097e+23
