Step;sac_expanded_looking;droQ_expanded_looking
30000;0,3494234085083008;0,9379957318305969
60000;1,4052784442901611;6,380826473236084
90000;1,8309237957000728;14,345311164855957
120000;2,6974432468414307;12,595597267150879
150000;2,830061197280884;18,829891204833984
180000;1,9744975566864011;12,758491516113281
210000;1,718716025352478;10,529786109924316
240000;2,185689687728882;6,3933563232421875
270000;2,454845905303955;4,445722579956055
300000;1,6148608922958374;3,570077896118164
330000;0,8975027203559875;2,820312976837158
360000;0,7987431883811951;1,9439506530761719
390000;1,8604319095611568;3,1927707195281982
420000;1,0785831212997437;3,8091132640838623
450000;2,571869134902954;3,398646831512451
480000;1,6305880546569824;2,155489444732666
510000;2,5909242630004883;0,932638943195343
540000;2,2028520107269287;0,7334924340248108
570000;2,137387990951538;0,47556623816490173
600000;2,631493091583252;0,5795639753341675
630000;2,3203110694885254;0,6494948863983154
660000;1,7038545608520508;0,3642849624156952
690000;2,2014522552490234;0,43916043639183044
720000;1,7040678262710571;0,5190918445587158
750000;2,1182432174682617;0,8142043948173523
780000;1,173456072807312;0,9682248830795288
810000;1,003312349319458;0,8490298986434937
840000;0,8815575242042542;0,9401957392692566
870000;1,0134321451187134;0,6408841013908386
900000;0,942865252494812;0,4480072259902954
930000;266,3139038085937;0,2014181911945343
960000;0,9064105749130248;0,17134179174900055
990000;0,7408685088157654;0,12654942274093628
1020000;0,6400651335716248;0,15790453553199768
1050000;0,5440427660942078;0,11922424286603928
1080000;0,5065599083900452;0,07109639793634415
1110000;0,4813558757305145;0,05999768152832985
1140000;0,575617790222168;0,06226138398051262
1170000;0,4082877933979034;0,056647807359695435
1200000;0,4223895967006683;0,07960864901542664
1230000;0,2540849149227142;0,03668893128633499
1260000;0,2318087965250015;0,029740644618868828
1290000;0,286281943321228;0,045180775225162506
1320000;0,1559630781412124;0,05316856503486633
1350000;0,1934315264225006;0,04335916042327881
1380000;0,1741260886192321;0,052415937185287476
1410000;0,2234622985124588;0,03090122528374195
1440000;0,2008668184280395;0,04590313509106636
1470000;4,93276309967041;0,03059200383722782
1500000;0,839114248752594;0,03905107080936432
1530000;0,3657379448413849;0,07449916005134583
1560000;0,2646010220050812;0,05265681818127632
1590000;0,156553253531456;0,04902603477239609
1620000;0,2140076905488968;0,04868113249540329
1650000;0,1662515252828598;0,03358183801174164
1680000;0,1172502338886261;0,0329408198595047
1710000;0,0979434475302696;0,022371433675289154
1740000;0,0829455703496933;0,02565990388393402
1770000;0,056269709020853;0,015453706495463848
1800000;0,0882213115692138;0,010187169536948204
1830000;0,062882587313652;0,01756720431149006
1860000;0,0303632635623216;0,012184151448309422
1890000;146,29660034179688;0,013564578257501125
1920000;0,0792097300291061;0,011508980765938759
1950000;0,0491065420210361;0,011910407803952694
1980000;0,0458316281437873;0,0110468789935112
2010000;0,035598799586296;0,01149811502546072
2040000;0,0311142932623624;0,01186910830438137
2070000;0,0281340051442384;0,008901710622012615
2100000;0,0236342903226614;0,010925414972007275
2130000;0,019434705376625;0,011960234493017197
2160000;0,0159817300736904;0,011520584113895893
2190000;0,0108701745048165;0,00914786383509636
2220000;0,0084067862480878;0,00953782256692648
2250000;0,0032622392755001;0,009459832683205605
2280000;0,0027019274421036;0,009228752925992012
2310000;0,0029325610958039;0,009223849512636662
2340000;0,0016928593395277;0,007992480881512165
2370000;0,0030639555770903;0,00976762268692255
2400000;0,0037080394104123;0,01799606904387474
2430000;0,0019940491765737;0,021649127826094627
2460000;0,0009726918069645;0,01662684790790081
2490000;0,0010171730536967;0,012052550911903381
2520000;0,0008968803449533;0,008040614426136017
2550000;0,0058944965712726;0,00639999657869339
2580000;0,0058223688974976;0,006192070432007313
2610000;0,0043923975899815;0,006389623507857323
2640000;0,0043028541840612;0,005398772191256285
2670000;0,0032460000365972;0,006324857473373413
2700000;0,0031745694577693;0,005277635529637337
2730000;0,0029376053716987;0,005995024926960468
2760000;0,0022937143221497;0,0034224523697048426
2790000;0,0025025538634508;0,003018127055838704
2820000;0,0009153320570476;0,003793779294937849
2850000;0,0016443384811282;0,0042491452768445015
2880000;0,0022346244659274;0,005964748561382294
2910000;0,0074845585040748;0,00612301891669631
2940000;0,0032560855615884;0,005957022774964571
2970000;0,0036027936730533;0,006962267681956291
3000000;0,0030265995301306;0,00935483817011118
3030000;0,0021223940420895;0,008337071165442467
3060000;0,0021378046367317;0,008796424604952335
3090000;0,0013350815279409;0,006057129241526127
3120000;0,0015769214369356;0,00547642819583416
3150000;0,0013149881269782;0,009119288995862007
3180000;0,0023625863250344;0,007137515116482973
3210000;0,0025721928104758;0,006430233828723431
3240000;0,0041640382260084;0,005510658025741577
3270000;0,0037743381690233;0,006689330562949181
3300000;0,0025321750435978;0,007255904376506805
3330000;0,0027778055518865;0,007052935194224119
3360000;0,0037676331121474;0,008771266788244247
3390000;0,0040053413249552;0,007829847745597363
3420000;0,0026665527839213;0,007719783112406731
3450000;0,0029436075128614;0,006617293693125248
3480000;0,0031365558970719;0,006456607487052679
3510000;0,0029201034922152;0,005410490557551384
3540000;0,0020385386887937;0,005280829034745693
3570000;0,0023874917533248;0,00476374477148056
3600000;0,0031464104540646;0,004717913921922445
3630000;0,0063276295550167;0,004837025422602892
3660000;0,014905335381627;0,005114083644002676
3690000;0,0142499040812253;0,00510373804718256
3720000;0,0168031454086303;0,006057101301848888
3750000;0,0171299427747726;0,004104947671294212
3780000;0,0373855419456958;0,004039635881781578
3810000;0,017172697931528;0,0035767480731010437
3840000;0,0144227938726544;0,0035761231556534767
3870000;0,0129205081611871;0,0033824408892542124
3900000;0,013431935571134;0,0036630388349294662
3930000;0,0138984331861138;0,004218160640448332
3960000;0,0127968592569231;0,005088217556476593
3990000;0,0130211180076003;0,005742304492741823
