Step;ppo_expanded_looking;ppg_expanded_looking
30000;0,0049980306066572;0,004998502787202597
60000;0,0049953334964811;0,004996007774025202
90000;0,0049924105405807;0,0049930140376091
120000;0,0049894615076482;0,004990019835531712
150000;0,0049864687025547;0,00498702609911561
180000;0,0049834749661386;0,004984031897038221
210000;0,0049804900772869;0,00498103816062212
240000;0,0049775061197578;0,004978043958544731
270000;0,0049745081923902;0,00497505022212863
300000;0,0049715721979737;0,004972056020051241
330000;0,0049686548300087;0,004969061817973852
360000;0,0049656764604151;0,004966068081557751
390000;0,0049626873806118;0,004963073879480362
420000;0,0049596894532442;0,0049600801430642605
450000;0,0049566952511668;0,004957085940986872
480000;0,0049537275917828;0,00495409220457077
510000;0,0049507520161569;0,0049510980024933815
540000;0,0049477508291602;0,004948103800415993
570000;0,0049447999335825;0,004945110063999891
600000;0,0049418737180531;0,0049421158619225025
630000;0,0049389116466045;0,004939122125506401
660000;0,00493592210114;0,004936127923429012
690000;0,0049326783046126;0,004933134187012911
720000;0,0049295667558908;0,004930139984935522
750000;0,0049266242422163;0,004927145782858133
780000;0,0049236672930419;0,004924152046442032
810000;0,0049206707626581;0,004921157844364643
840000;0,0049177198670804;0,004918164107948542
870000;0,0049148029647767;0,004915169905871153
900000;0,0049118446186184;0,004912176169455051
930000;0,0049086837098002;0,004909181967377663
960000;0,0049055842682719;0,004906188230961561
990000;0,0049027851782739;0,0049031940288841724
1020000;0,0048998990096151;0,004900199826806784
1050000;0,0048966784961521;0,004897206090390682
1080000;0,0048935320228338;0,0048942118883132935
1110000;0,0048906118609011;0,004891218151897192
1140000;0,0048876446671783;0,004888223949819803
1170000;0,0048846509307622;0,004885230213403702
1200000;0,0048816804774105;0,004882236011326313
1230000;0,0048787156119942;0,004879241809248924
1260000;0,0048758308403193;0,004876248072832823
1290000;0,0048727663233876;0,004873063415288925
1320000;0,0048696654848754;0,004869883414357901
1350000;0,0048667527735233;0,004866901319473982
1380000;0,0048638158477842;0,004863897804170847
1410000;0,0048608635552227;0,004860881250351667
1440000;0,0048577799461781;0,004857975523918867
1470000;0,0048545529134571;0,0048550572246313095
1500000;0,0048515670932829;0,00485191959887743
1530000;0,0048485756851732;0,00484879594296217
1560000;0,0048456853255629;0,0048459675163030624
1590000;0,004842878319323;0,004842851776629686
1620000;0,0048397886566817;0,004839714616537094
1650000;0,0048367185518145;0,004836834967136383
1680000;0,0048339227214455;0,0048339697532355785
1710000;0,004831095226109;0,004830905236303806
1740000;0,0048278216272592;0,0048278579488396645
1770000;0,0048245918005704;0,00482496153563261
1800000;0,0048216991126537;0,00482182065024972
1830000;0,0048188627697527;0,004818691406399012
1860000;0,0048159705474972;0,004815836437046528
1890000;0,0048131016083061;0,004812921397387981
1920000;0,0048098876141011;0,004809941630810499
1950000;0,0048067485913634;0,00480685057118535
1980000;0,0048039183020591;0,004803817253559828
2010000;0,004801055882126;0,004800783935934305
2040000;0,0047981417737901;0,004797722212970257
2070000;0,0047949510626494;0,004794987849891186
2100000;0,0047918641939759;0,004792114719748497
2130000;0,0047889109700918;0,004788942169398069
2160000;0,0047859651967883;0,004785775672644377
2190000;0,0047829723916947;0,004782949574291706
2220000;0,0047799702733755;0,004780131857842207
2250000;0,0047770957462489;0,004777189344167709
2280000;0,0047739194706082;0,004774224013090134
2310000;0,0047707208432257;0,004771035630255938
2340000;0,0047678463160991;0,004767888225615025
2370000;0,0047649987973272;0,004765036981552839
