Step;sac_expanded_looking;droQ_expanded_looking
30000;0,8704126477241516;0,8423137068748474
60000;0,6042230725288391;0,5607436299324036
90000;0,3845656216144562;0,3563126027584076
120000;0,2450008541345596;0,22757545113563538
150000;0,1564662754535675;0,1457941234111786
180000;0,1000984385609626;0,09284602105617523
210000;0,0642625242471695;0,05897411331534386
240000;0,0414897873997688;0,0376889668405056
270000;0,0271053668111562;0,024103287607431412
300000;0,017721127718687;0,015480483882129192
330000;0,0115584740415215;0,009981222450733185
360000;0,0076350336894392;0,006550909951329231
390000;0,0051294541917741;0,004275870509445667
420000;0,0035918022040277;0,0029027622658759356
450000;0,0027586482465267;0,0020372190047055483
480000;0,0023371456190943;0,001469170325435698
510000;0,0022199912928044;0,0010910292621701956
540000;0,0021896462421864;0,0007332385866902769
570000;0,0020619293209165;0,0006216400070115924
600000;0,002132399007678;0,0005313918809406459
630000;0,0019520298810675;0,0005143437883816659
660000;0,0018272488377988;0,0005009900778532028
690000;0,001890497864224;0,0004171761975158006
720000;0,0017830189317464;0,0004202377167530358
750000;0,0017849350115284;0,00037266709841787815
780000;0,00182103109546;0,000481140217743814
810000;0,0017946531297639;0,0006217607879079878
840000;0,0015626715030521;0,0007789203082211316
870000;0,0014456745702773;0,0010333536192774773
900000;0,0014850514708086;0,0010136067867279053
930000;0,0014494179049506;0,0007860680343583226
960000;0,0018208797555416;0,000641209480818361
990000;0,0016244121361523;0,0005640515009872615
1020000;0,0014932784251868;0,000519398192409426
1050000;0,0015212206635624;0,0005358349881134927
1080000;0,0012190940324217;0,0005633815308101475
1110000;0,0010634550126269;0,0005168310599401593
1140000;0,0010760403238236;0,0004603829002007842
1170000;0,0010588495060801;0,00046437743003480136
1200000;0,0010157547658309;0,0004136440984439105
1230000;0,0009474817197769;0,00041143177077174187
1260000;0,0008588465279899;0,00038229810888879
1290000;0,0007618080126121;0,00031686032889410853
1320000;0,0007915177266113;0,00034411129308864474
1350000;0,0007248914334923;0,00033313300809822977
1380000;0,0007022078498266;0,0003860824217554182
1410000;0,0006755489739589;0,00039202781044878066
1440000;0,000662287522573;0,0004407438973430544
1470000;0,0007636823575012;0,0004987400607205927
1500000;0,0008748985128477;0,0004714943061117083
1530000;0,0008035692735575;0,000529054959770292
1560000;0,0006751837790943;0,000569392868783325
1590000;0,0006561785703524;0,000784790376201272
1620000;0,0006698538199998;0,0009267671266570687
1650000;0,0007012877031229;0,000867882277816534
1680000;0,0006498803850263;0,0008175830007530749
1710000;0,0005864885752089;0,0007403880590572953
1740000;0,0005373715539462;0,0006714119808748364
1770000;0,0005324610974639;0,000607745663728565
1800000;0,0005321635399013;0,0005769209819845855
1830000;0,0004781659226864;0,0007620971882715821
1860000;0,0004701161233242;0,0008462701225653291
1890000;0,0005546432221308;0,0006754662026651204
1920000;0,0008720336481928;0,0006267899880185723
1950000;0,0010102806845679;0,000525082868989557
1980000;0,0009286332642659;0,000532318779733032
2010000;0,0007667823811061;0,00046155002200976014
2040000;0,0006951438845135;0,0004624913271982223
2070000;0,0006328228046186;0,0005081368726678193
2100000;0,0005817561759613;0,000612748961430043
2130000;0,0005413779872469;0,0006703165709041059
2160000;0,0004513040476012;0,0006771352491341531
2190000;0,0004230848280712;0,0006678221980109811
