Step;ppo_expanded_looking;ppg_expanded_looking;sac_expanded_looking;droQ_expanded_looking
30000;49,11882400512695;58,21525573730469;41,299278259277344;32,45962142944336
60000;47,34406280517578;57,054595947265625;45,08965301513672;33,641090393066406
90000;51,60001754760742;59,39573669433594;37,96026992797852;36,51225280761719
120000;56,54036712646485;61,05329513549805;44,75077438354492;38,89570236206055
150000;61,0849609375;64,43802642822266;41,21097183227539;32,05147171020508
180000;52,116661071777344;61,704891204833984;47,71070861816406;39,33551025390625
210000;55,20509338378906;56,71346664428711;37,51182174682617;33,548683166503906
240000;50,535926818847656;65,68761444091797;30,953765869140625;36,22811508178711
270000;52,96216583251953;64,6006088256836;30,638259887695312;35,84143829345703
300000;58,1663818359375;65,76180267333984;42,39965057373047;33,74233627319336
330000;58,7479362487793;63,57604217529297;29,875221252441406;32,828006744384766
360000;59,848175048828125;64,5282974243164;35,93448638916016;32,244754791259766
390000;57,93511581420898;65,21504974365234;18,17470932006836;21,63263702392578
420000;57,76861953735352;63,87148284912109;19,136764526367188;12,457152366638184
450000;61,1625862121582;62,10591506958008;23,142162322998047;12,300497055053711
480000;60,21870422363281;60,91018295288086;18,28504943847656;9,916854858398438
510000;57,67481994628906;59,60642623901367;11,708913803100586;18,53516387939453
540000;51,0965576171875;66,64009094238281;19,37934875488281;17,40863800048828
570000;62,14179229736328;65,56321716308594;22,78074073791504;14,294136047363281
600000;58,86277389526367;60,46600341796875;17,445938110351562;33,74876022338867
630000;65,50469970703125;62,26360702514648;19,16558837890625;14,638334274291992
660000;65,87386322021484;67,64689636230469;19,870758056640625;19,79732322692871
690000;56,1234245300293;63,662967681884766;25,69798469543457;16,24067497253418
720000;66,31983947753906;63,611724853515625;15,31642246246338;18,9867000579834
750000;53,01910781860352;64,5701675415039;20,573217391967773;17,316648483276367
780000;70,16741180419922;65,47429656982422;16,425857543945312;8,939414024353027
810000;62,9940071105957;65,28253936767578;12,96008014678955;13,4622802734375
840000;64,54110717773438;64,31403350830078;9,737367630004885;22,438507080078125
870000;62,15309524536133;68,87079620361328;10,937259674072266;22,878318786621094
900000;67,36480712890625;66,70125579833984;17,04795265197754;23,270488739013672
930000;61,16115951538086;71,127197265625;12,008397102355955;14,400272369384766
960000;54,3448486328125;73,27051544189453;7,711319923400879;13,427359580993652
990000;61,3867073059082;71,28681182861328;11,728949546813965;11,987614631652832
1020000;69,1581802368164;66,07975006103516;11,407771110534668;9,314190864562988
1050000;67,40625;64,50374603271484;11,390875816345217;15,07130241394043
1080000;64,57450866699219;71,14341735839844;9,84327793121338;8,39406967163086
1110000;61,74825668334961;67,96898651123047;10,60754108428955;18,403827667236328
1140000;69,52143096923828;66,60951232910156;13,099165916442873;32,493709564208984
1170000;67,54407501220703;70,19649505615234;7,777965545654297;31,42245101928711
1200000;65,17237854003906;73,1435775756836;10,829977989196776;21,023603439331055
1230000;65,28070831298828;65,09497833251953;14,688691139221191;25,387372970581055
1260000;55,5036506652832;68,402099609375;9,611961364746094;34,0800895690918
1290000;48,95801162719727;69,59847259521484;11,203423500061035;23,6103458404541
1320000;54,1929817199707;71,3323745727539;11,908894538879396;34,957786560058594
1350000;56,87311172485352;79,65213775634766;13,02197551727295;41,91802215576172
1380000;59,43967819213867;72,84247589111328;10,602883338928224;32,922935485839844
1410000;48,65226364135742;79,17694091796875;7,657992839813232;33,94817352294922
1440000;53,0975341796875;70,3484878540039;7,714049816131592;24,90316390991211
1470000;67,1375503540039;83,38768005371094;9,667859077453612;34,77682876586914
1500000;60,94669342041016;69,8705062866211;8,185440063476562;27,00250244140625
1530000;70,32492065429688;66,9010009765625;7,197792530059815;28,98615837097168
1560000;64,9156494140625;60,22720718383789;6,793322563171387;27,41969108581543
1590000;70,39940643310547;52,854759216308594;8,887660026550293;32,184757232666016
1620000;74,70738983154297;70,88890075683594;7,358268737792969;49,589481353759766
1650000;72,76841735839844;64,32875061035156;6,745279788970947;30,50738525390625
1680000;66,05349731445312;59,90972900390625;8,229715347290039;33,59031295776367
1710000;59,55642318725586;65,58467864990234;7,47185754776001;48,11680221557617
1740000;76,40434265136719;73,67378234863281;7,180112838745117;48,37785720825195
1770000;63,1974983215332;70,06278228759766;7,373813152313232;47,24384307861328
1800000;66,9937515258789;69,73946380615234;6,335057735443115;40,5112190246582
1830000;60,30183410644531;76,9370346069336;7,294170379638672;30,392227172851562
1860000;68,99864959716797;83,7670669555664;8,663296699523926;38,66059875488281
