Step;ppo_expanded_looking;ppg_expanded_looking
30000;0,1999605298042297;0,19997000694274902
60000;0,1999064832925796;0,19991999864578247
90000;0,1998479068279266;0,19986000657081604
120000;0,1997888088226318;0,19979999959468842
150000;0,1997288316488266;0,1997399926185608
180000;0,1996688395738601;0,19968000054359436
210000;0,199609026312828;0,19961999356746674
240000;0,1995492279529571;0,1995600014925003
270000;0,1994891464710235;0,19949999451637268
300000;0,199430301785469;0,19944000244140625
330000;0,1993718296289444;0,19937999546527863
360000;0,199312150478363;0,1993200033903122
390000;0,1992522478103637;0,19925999641418457
420000;0,1991921812295913;0,19920000433921814
450000;0,1991321742534637;0,19913999736309052
480000;0,1990727037191391;0,19908000528812408
510000;0,1990130692720413;0,19901999831199646
540000;0,1989529281854629;0,19896000623703003
570000;0,1988937854766845;0,1988999992609024
600000;0,1988351494073867;0,19884000718593597
630000;0,1987757831811905;0,19878000020980835
660000;0,19871586561203;0,19871999323368073
690000;0,1986508667469024;0,1986600011587143
720000;0,1985885202884674;0,19859999418258667
750000;0,1985295414924621;0,19854000210762024
780000;0,1984702944755554;0,19847999513149261
810000;0,1984102427959442;0,19842000305652618
840000;0,1983511000871658;0,19835999608039856
870000;0,1982926428318023;0,19830000400543213
900000;0,198233351111412;0,1982399970293045
930000;0,198170006275177;0,19818000495433807
960000;0,198107898235321;0,19811999797821045
990000;0,1980518102645874;0,19806000590324402
1020000;0,1979939639568328;0,1979999989271164
1050000;0,1979294270277023;0,19794000685214996
1080000;0,1978663802146911;0,19787999987602234
1110000;0,1978078633546829;0,19781999289989471
1140000;0,1977483928203582;0,19776000082492828
1170000;0,1976883858442306;0,19769999384880066
1200000;0,1976288706064224;0,19764000177383423
1230000;0,1975694447755813;0,1975799947977066
1260000;0,1975116431713104;0,19752000272274017
1290000;0,1974502205848693;0,19745618104934692
1320000;0,197388082742691;0,19739244878292084
1350000;0,1973297148942947;0,1973326951265335
1380000;0,197270855307579;0,19727249443531036
1410000;0,1972116976976394;0,19721204042434692
1440000;0,1971498876810073;0,19715382158756256
1470000;0,1970852315425872;0,1970953345298767
1500000;0,1970254033803939;0,19703245162963867
1530000;0,1969654560089111;0,1969698667526245
1560000;0,1969075202941894;0,19691316783428192
1590000;0,1968512684106826;0,1968507319688797
1620000;0,1967893540859222;0,19678787887096405
1650000;0,1967278271913528;0,19673016667366028
1680000;0,1966717988252639;0,1966727375984192
1710000;0,1966151297092437;0,19661132991313934
1740000;0,1965495347976684;0,19655026495456696
1770000;0,1964848041534423;0,19649221003055573
1800000;0,1964268386363983;0,1964292675256729
1830000;0,1963699907064438;0,1963665634393692
1860000;0,1963120400905609;0,19630934298038483
1890000;0,1962545365095138;0,19625093042850494
1920000;0,196190133690834;0,1961912214756012
1950000;0,1961272209882736;0,19612926244735718
1980000;0,1960705071687698;0,19606848061084747
2010000;0,1960131376981735;0,19600769877433777
2040000;0,1959547400474548;0,1959463357925415
2070000;0,1958908140659332;0,19589154422283173
2100000;0,1958289444446563;0,1958339661359787
2130000;0,1957697570323944;0,19577038288116455
2160000;0,1957107186317443;0,19570691883563995
2190000;0,1956507563591003;0,19565029442310333
2220000;0,1955905854701995;0,19559381902217865
2250000;0,1955329775810241;0,1955348551273346
2280000;0,1954693347215652;0,19547542929649353
2310000;0,1954052299261093;0,1954115331172943
